Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
Cover_Red_5765;21204336;614496799;RND623434513;Ультратонкий чехол K-Doo Air Carbon для iPhone 12 Pro (Айфон 12 Про) черный;'52.5;K-DOO;Продается;;151;'4.70;Показывается;;24.02.2021 16:01;Чехлы;Чехол для смартфона;'0.40;'0.1;11;0;0;0;0;1800.0;11990.0;;0%
Cable_Green_8054;29518223;455063613;4261995415605;Переходник с mini-Display Port/Thunderbolt на HDMI (25см);'45;Нет бренда;Продается;;653;'4.60;Показывается;;25.07.2021 12:04;Кабели и переходники;Кабель-переходник;'0.45;'0.1;262;1;18;0;0;1400.0;7900.0;;0%
Case_Black_9065;39289092;908823478;RND349414052;Кабель переходник Sata - USB 3.0 HDD / SSD;'25;Нет бренда;Готов к продаже;;0;'0.00;Показывается;;03.08.2021 13:50;Кабели и переходники;Кабель-переходник;'0.32;'0.1;0;0;0;0;0;690.0;0.0;;0%
Battery_Clear_9325;51464480;652367937;RND906309548;Элемент питания (батарейка) Panasonic CR2032;'60;Panasonic;Не продается;;441;'0.00;Скрыт;Отсутствуют документы на бренд;10.08.2021 16:27;Батарейки и аккумуляторы;Батарейка;'0.22;'0.1;0;0;0;0;0;150.0;500.0;;0%
Adapter_Titanium_6240;42988221;686773432;RND466331076;Батарейка Panasonic CR2016;'60;Panasonic;Готов к продаже;;229;'4.80;Показывается;;12.08.2021 14:08;Батарейки и аккумуляторы;Батарейка;'0.22;'0.1;0;0;0;0;0;1800.0;4900.0;;0%
Battery_Green_8393;61050465;303778234;2552415003563;Аккумуляторы 16340 (Li-Ion) 550 мАч Robiton RCR123A защищенный 3,7 В (2 шт);'70;Robiton;Продается;;47;'4.80;Показывается;;05.09.2021 14:00;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.10;'0.1;38;0;105;0;0;5800.0;11990.0;;0%
Accessory_Purple_7037;30099426;260849393;RND791413863;Чехол на Айфон 13 Про K-DOO Air Carbon с защитой камер;'100;K-DOO;Продается;;285;'4.90;Показывается;;19.10.2021 16:40;Чехлы;Чехол для смартфона;'0.40;'0.1;1;0;8;0;2;1600.0;7900.0;;0%
Accessory_Red_4070;90940163;656773735;6890667559757;Чехол на Айфон 13 Про Макс K-DOO Air Carbon с защитой камер;'100;K-DOO;Продается;;285;'4.80;Показывается;;19.10.2021 16:46;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;5;0;0;1600.0;11990.0;;0%
Battery_Green_5810;44855541;276437382;6089006641401;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 13 Про;'100;K-DOO;Продается;;92;'4.90;Показывается;;04.12.2021 11:43;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;8;0;0;1600.0;7900.0;;0%
Adapter_White_7320;35107732;361042639;4556850038044;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 13 Про Макc;'100;K-DOO;Продается;;80;'4.80;Показывается;;03.01.2022 10:19;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;5200.0;7900.0;;0%
Cover_Titanium_2212;18857690;406503310;RND158674122;Чехол на Айфон 13 K-DOO Air Carbon с защитой камер;'92.5;K-DOO;Продается;;241;'4.70;Показывается;;24.01.2022 15:18;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;1600.0;11990.0;;0%
Glass_Pink_9806;79163373;629052070;RND627064470;Ультратонкий чехол для iPhone 13 K-DOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 13;'82.5;K-DOO;Продается;;102;'4.70;Показывается;;24.01.2022 16:20;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;0;0;0;1800.0;11990.0;;0%
Accessory_Pink_6937;13061075;773392348;RND696184926;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Skin, чёрный супертонкий чехол для Айфон 13 Про Макс;'100;K-DOO;Продается;;233;'4.80;Показывается;;29.01.2022 15:28;Чехлы;Чехол для смартфона;'1.22;'0.2;16;0;10;0;0;1800.0;11990.0;;0%
Cover_Blue_9904;10346034;400652839;RND639104640;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Skin, белый супертонкий чехол Айфон 13 Про Макс;'100;K-DOO;Продается;;207;'4.80;Показывается;;29.01.2022 15:38;Чехлы;Чехол для смартфона;'0.36;'0.1;41;0;10;0;0;1800.0;11990.0;;0%
Protector_Pink_2743;85669938;784228030;4953026011875;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Skin, чёрный супертонкий чехол для Айфон 13 Про;'75;K-DOO;Продается;;194;'4.70;Показывается;;29.01.2022 16:15;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;8;0;0;1800.0;11990.0;;0%
Cover_Black_5764;52743075;925409986;2117421859920;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Skin, белый супертонкий чехол для Айфон 13 Про;'100;K-DOO;Готов к продаже;;242;'4.70;Показывается;;29.01.2022 16:22;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1800.0;11990.0;;0%
Protector_Titanium_4661;74548800;368066210;RND852941498;Кожаный чехол-накладка K-Doo Noble Collection для iPhone 13 Pro Max (Айфон 13 Про Макс), чёрный;'77.5;K-DOO;Продается;;40;'4.80;Показывается;;30.01.2022 13:23;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;6;0;0;4200.0;11990.0;;0%
Cover_Red_6911;80378492;676308573;1599679594065;Кожаный чехол-накладка K-Doo Noble Collection для iPhone 13 Pro (Айфон 13 Про), чёрный;'77.5;K-DOO;Продается;;41;'4.90;Показывается;;30.01.2022 13:30;Чехлы;Чехол для смартфона;'0.27;'0.1;5;0;0;0;0;6200.0;11990.0;;0%
Protector_Blue_6669;22263984;672080967;8064199145086;Элемент питания (батарейка) Panasonic CR2032 (2шт);'72.5;Panasonic;Не продается;;1149;'0.00;Скрыт;Отсутствуют документы на бренд;31.01.2022 13:03;Батарейки и аккумуляторы;Батарейка;'0.03;'0.1;0;0;0;0;0;250.0;900.0;;0%
Case_Blue_4390;43482401;818974761;RND569151213;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Skin, синий супертонкий чехол для Айфон 13 Про Макс;'77.5;K-DOO;Продается;;55;'4.80;Показывается;;08.02.2022 11:07;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;8;0;0;1800.0;11990.0;;0%
Case_White_7754;85646194;264474250;RND674543490;Защитное стекло на iPhone 13 Pro Max Medicine с олеофобным покрытием, защитное стекло для Айфон 13 Про Макс / 14 Плюс;'82.5;REMAX;Продается;;177;'4.70;Показывается;;28.03.2022 10:33;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;96;0;0;1000.0;4900.0;;0%
Accessory_Titanium_2099;47380038;513376236;6823835095969;Защитное стекло на iPhone 13 / 13 Pro / 14 REMAX Medicine с олеофобным покрытием, защитное стекло для Айфон 13, 13 Про, 14;'82.5;REMAX;Продается;;254;'0.00;Показывается;;28.03.2022 11:18;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;6;0;12;0;0;2000.0;4900.0;;0%
Accessory_Green_7274;81801011;671549106;RND469589735;Защитное стекло на iPhone 12 Pro Max Remax Medicine с олеофобным покрытием / защита экрана Айфон 12 Про Макс;'82.5;REMAX;Продается;;79;'4.80;Показывается;;28.03.2022 12:19;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;8;0;0;2000.0;4900.0;;0%
Glass_Pink_3223;22718224;538010165;RND435720035;Защитное стекло на iPhone 12 / 12 Pro Remax Medicine с олеофобным покрытием, защита экрана Айфон 12, 12 Про;'82.5;REMAX;Продается;;213;'5.00;Показывается;;28.03.2022 12:58;Защитные пленки и стекла;Защитное стекло;'0.32;'0.1;3;0;10;0;0;2000.0;4900.0;;0%
Battery_Titanium_8906;97408996;935711580;RND880515971;Стекло на iPhone 11 Pro Max / Xs Max Remax Medicine с олеофобным покрытием , защита экрана Айфон 11 Про Макс;'75;REMAX;Продается;;103;'5.00;Показывается;;28.03.2022 13:42;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;9;0;0;2000.0;4900.0;;0%
Adapter_Black_8062;14247092;587896745;RND478123893;Защитное стекло для iPhone 11 / Xr Remax Medicine с олеофобным покрытием, защита экрана Айфон 11 / Xr;'75;REMAX;Продается;;410;'5.00;Показывается;;28.03.2022 14:00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;8;0;0;1000.0;4900.0;;0%
Cover_Pink_2630;22953570;116262700;9029588508778;Защитное стекло на iPhone 11 Pro / Xs / X Remax Medicine с олеофобным покрытием, защита экрана Айфон 11 Про, Xs, 10;'75;REMAX;Продается;;200;'0.00;Показывается;;28.03.2022 14:36;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;2;0;0;0;0;1000.0;4900.0;;0%
Cable_Green_9321;42454481;603645909;RND131273772;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Skin, синий супертонкий чехол для Айфон 13 Про;'77.5;K-DOO;Продается;;75;'4.70;Показывается;;11.05.2022 12:29;Чехлы;Чехол для смартфона;'0.36;'0.1;13;0;5;0;0;2700.0;11990.0;;0%
Glass_Clear_8129;49825458;213313914;5416246970831;Cтекло на iPhone SE (2022 / 2020), 8, 7 Remax Medicine с олеофобным покрытием черное, защитное стекло для Айфон;'82.5;REMAX;Готов к продаже;;309;'5.00;Показывается;;27.05.2022 10:46;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;0;0;0;490.0;1490.0;;0%
Case_Titanium_9134;76695808;718874802;RND886199937;Чехол для iPhone 13 Pro ультратонкий K-DOO Air Skin, голубой супертонкий чехол для Айфон 13 Про;'77.5;K-DOO;Продается;;105;'4.70;Показывается;;08.06.2022 11:49;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;8;0;0;2700.0;11990.0;;0%
Cover_Green_8384;23362588;477278303;1101917413696;Чехол для iPhone 13 Pro Max ультратонкий K-DOO Air Skin, голубой супертонкий чехол для Айфон 13 Про Макс;'77.5;K-DOO;Готов к продаже;;99;'4.80;Показывается;;08.06.2022 12:30;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;2700.0;11990.0;;0%
Case_Green_1181;24884659;593435304;5246946339127;Чехол для iPhone 13 Pro Max с Mag Safe Keephone Magnet Pro, прозрачный противоударный чехол для Айфон 13 Про Макс;'77.5;KEEPHONE;Готов к продаже;;82;'4.90;Показывается;;09.06.2022 16:43;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1950.0;2990.0;;0%
Battery_White_7543;31817090;496447615;2350014496008;Чехол для iPhone 13 Pro с Mag Safe Keephone Magnet Pro, прозрачный противоударный чехол для Айфон 13 Про;'77.5;KEEPHONE;Готов к продаже;;21;'5.00;Показывается;;11.06.2022 11:47;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1890.0;2990.0;;0%
Glass_Red_8621;28661130;645614311;7586161799545;Чехол для iPhone 13 Pro Max с держателем Keephone Heldro Sky, хамелеон для Айфон 13 Про Макс);'70;KEEPHONE;Готов к продаже;;52;'0.00;Показывается;;12.06.2022 13:46;Чехлы;Чехол для смартфона;'0.27;'0.1;0;0;0;0;0;2490.0;2990.0;;0%
Case_Red_2860;83690062;416225342;4850579103150;Кожаный чехол для iPhone 13 Pro K-Doo Noble Collection, голубой чехол для Айфон 13 Про;'77.5;K-DOO;Продается;;26;'4.90;Показывается;;03.08.2022 15:04;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;5500.0;11990.0;;0%
Case_Blue_9769;78204386;825732735;7580271451142;Кожаный чехол для iPhone 13 Pro K-Doo Noble Collection, зеленый чехол для Айфон 13 Про;'52.5;K-DOO;Продается;;26;'4.90;Показывается;;03.08.2022 15:21;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;5;0;0;5500.0;11990.0;;0%
Accessory_Titanium_3675;63776180;913276621;4177784354697;Кожаный чехол для iPhone 13 Pro K-Doo Noble Collection, темно-синий чехол для Айфон 13 Про;'52.5;K-DOO;Продается;;41;'4.90;Показывается;;03.08.2022 16:18;Чехлы;Чехол для смартфона;'0.36;'0.1;12;0;4;0;0;5500.0;11990.0;;0%
Glass_Black_8422;81311748;208269569;RND822432941;Защитное стекло для iPhone 8 / 7 белое Remax Medicine с олеофобным покрытием, защитное стекло Айфон 8 / 7;'57.5;REMAX;Готов к продаже;;32;'5.00;Показывается;;19.08.2022 16:15;Защитные пленки и стекла;Защитное стекло;'0.34;'0.1;0;0;0;0;0;660.0;1490.0;;0%
Battery_Red_5601;52470193;745259913;8374167266920;ЗАЩИТНОЕ СТЕКЛО для iPhone 14 Pro Max REMAX Medicine с олеофобным покрытием / защита экрана Айфон 14 Про Макс;'82.5;REMAX;Продается;;43;'5.00;Показывается;;09.09.2022 11:16;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;6;0;10;0;0;1240.0;4900.0;;0%
Protector_Clear_8895;31860458;812030739;RND680869278;Защитное стекло на iPhone 14 Pro REMAX Medicine с олеофобным покрытием, защита экрана Айфон 14 Про;'82.5;REMAX;Продается;;46;'5.00;Показывается;;09.09.2022 12:48;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;97;0;0;1260.0;4900.0;;0%
