Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
'Air Carbon 12 Pro Black;56559210;233207258;687651986;Ультратонкий чехол K-Doo Air Carbon для iPhone 12 Pro (Айфон 12 Про) черный;'52.5;K-DOO;Продается;;151;'4.70;Показывается;;24.02.2021 16:01;Чехлы;Чехол для смартфона;'0.40;'0.1;11;0;0;0;0;1800.00;11990.00;;0%
'2507MDHD;100787711;294674651;OZN294674651;Переходник с mini-Display Port/Thunderbolt на HDMI (25см);'45;Нет бренда;Продается;;653;'4.60;Показывается;;25.07.2021 12:04;Кабели и переходники;Кабель-переходник;'0.45;'0.1;262;1;18;0;0;1400.00;7900.00;;0%
'USB-SATA 3.0;105730910;298273459;OZN298273450;Кабель переходник Sata - USB 3.0 HDD / SSD;'25;Нет бренда;Готов к продаже;;0;'0.00;Показывается;;03.08.2021 13:50;Кабели и переходники;Кабель-переходник;'0.32;'0.1;0;0;0;0;0;690.00;0.00;;0%
'CR2032 Pan;109029812;301315857;OZN301315857;Элемент питания (батарейка) Panasonic CR2032;'60;Panasonic;Не продается;;441;'0.00;Скрыт;Отсутствуют документы на бренд;10.08.2021 16:27;Батарейки и аккумуляторы;Батарейка;'0.22;'0.1;0;0;0;0;0;150.00;500.00;;0%
'CR2016 Pan;110156456;302538378;OZN302538378;Батарейка Panasonic CR2016;'60;Panasonic;Готов к продаже;;229;'4.80;Показывается;;12.08.2021 14:08;Батарейки и аккумуляторы;Батарейка;'0.22;'0.1;0;0;0;0;0;1800.00;4900.00;;0%
'Robiton 16340 3,7 В (2 шт);119504572;314825813;OZN314825813;Аккумуляторы 16340 (Li-Ion) 550 мАч Robiton RCR123A защищенный 3,7 В (2 шт);'70;Robiton;Продается;;47;'4.80;Показывается;;05.09.2021 14:00;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.10;'0.1;38;0;105;0;0;5800.00;11990.00;;0%
'Air Carbon 13 Pro Black;144122576;356780396;OZN356780396;Чехол на Айфон 13 Про K-DOO Air Carbon с защитой камер;'100;K-DOO;Продается;;285;'4.90;Показывается;;19.10.2021 16:40;Чехлы;Чехол для смартфона;'0.40;'0.1;1;0;8;0;2;1600.00;7900.00;;0%
'Air Carbon 13 Pro Max Black;144123591;356783007;OZN356783007;Чехол на Айфон 13 Про Макс K-DOO Air Carbon с защитой камер;'100;K-DOO;Продается;;285;'4.80;Показывается;;19.10.2021 16:46;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;5;0;0;1600.00;11990.00;;0%
'Air Carbon 13 Pro Blue;177391824;413015353;OZN413015353;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 13 Про;'100;K-DOO;Продается;;92;'4.90;Показывается;;04.12.2021 11:43;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;8;0;0;1600.00;7900.00;;0%
'Air Carbon 13 Pro Max Blue;202360956;454580334;OZN454580334;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 13 Про Макc;'100;K-DOO;Продается;;80;'4.80;Показывается;;03.01.2022 10:19;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;5200.00;7900.00;;0%
