Номер отправления;Статус отправления;Ozon ID;Артикул товара;Итоговая стоимость;Количество товаров в отправлении;Скидка %;Акции;Регион доставки;Способ доставки;Сумма отправления;Скидка, руб.;Вознаграждение %;Вознаграждение, руб.;Стоимость доставки;К выплате;Склад отгрузки;Дата логистической операции
ORD479150;Отменен;25673692;HHH_Titanium_2410;8500;1;15;Нет;с. Челябинск;Постамат;8500;1275;19;1615;201;5409;Склад 1;02.02.2025
ORD290474;Доставлен;10991330;GGG_Green_7035;2600;4;0;Черная пятница;д. Нерчинск;Курьер;10400;0;10;1040;155;9205;Склад 1;01.03.2025
ORD775156;Доставлен;96985825;HHH_Purple_2504;3200;1;15;Новогодняя распродажа;ст. Юрьев-Польский;Курьер;3200;480;17;544;187;1989;Склад 2;22.08.2025
ORD269078;Доставлен;41515025;DDD_Purple_3677;980;4;5;Черная пятница;д. Чебаркуль;Курьер;3920;49;16;627,2;331;2912,8;Склад 1;19.09.2025
ORD857346;В пути;60822434;GGG_Pink_4564;9100;1;5;Черная пятница;к. Бронницы;Курьер;9100;455;15;1365;126;7154;Склад 2;27.07.2025
ORD727936;В пути;73779124;HHH_Clear_8504;5580;3;20;Новогодняя распродажа;ст. Можайск;Курьер;16740;1116;12;2008,8;273;13342,2;Склад 3;26.06.2025
ORD517481;В пути;96125000;FFF_Clear_9868;5560;2;15;Новогодняя распродажа;с. Шенкурск;ПВЗ;11120;834;16;1779,2;154;8352,8;Склад 1;19.06.2025
ORD990878;В пути;23021957;EEE_Black_4856;1000;4;10;Черная пятница;п. Воронеж;ПВЗ;4000;100;17;680;209;3011;Склад 2;20.07.2025
ORD641941;Отменен;61473853;BBB_Black_4989;6050;1;20;Новогодняя распродажа;клх Мценск;Курьер;6050;1210;11;665,5;176;3998,5;Склад 2;01.04.2025
ORD945104;Отменен;37293235;AAA_Titanium_1777;3090;2;5;Новогодняя распродажа;д. Плес;ПВЗ;6180;154,5;15;927;453;4645,5;Склад 2;06.06.2025
ORD593281;В пути;81893634;GGG_Red_7442;5980;1;15;Новогодняя распродажа;клх Волоколамск;ПВЗ;5980;897;11;657,8;383;4042,2;Склад 2;12.06.2025
ORD530990;Отменен;91076807;AAA_Red_5295;3090;2;20;Новогодняя распродажа;г. Камышлов;Постамат;6180;618;18;1112,4;447;4002,6;Склад 1;18.01.2025
ORD503940;Доставлен;43502425;BBB_Blue_7291;10006;2;15;Новогодняя распродажа;ст. Гремячинск (Бурят.);Курьер;20012;1500,9;15;3001,8;253;15256,3;Склад 1;15.09.2025
ORD576104;Доставлен;41460381;AAA_Green_6938;3816;1;5;Новогодняя распродажа;к. Мирный;ПВЗ;3816;190,8;18;686,88;225;2713,32;Склад 1;29.05.2025
ORD101019;Доставлен;80700206;BBB_Black_9217;2780;4;20;Нет;с. Канск;Постамат;11120;556;13;1445,6;252;8866,4;Склад 2;17.06.2025
ORD455346;В пути;99772524;GGG_Purple_5307;1100;4;5;Черная пятница;ст. Благовещенск (Амур.);Постамат;4400;55;11;484;107;3754;Склад 3;08.05.2025
ORD258093;Доставлен;72055283;DDD_Purple_2787;10980;3;0;Новогодняя распродажа;г. Тырныауз;Курьер;32940;0;10;3294;389;29257;Склад 2;26.05.2025
ORD233161;Отменен;86313043;CCC_Purple_9765;3490;2;5;Черная пятница;г. Сибай;Курьер;6980;174,5;12;837,6;239;5728,9;Склад 3;21.03.2025
ORD575676;В пути;70160612;AAA_Purple_3399;7828;3;15;Нет;к. Листвянка (Иркут.);Постамат;23484;1174,2;12;2818,08;225;19266,72;Склад 1;08.02.2025
ORD253973;Отменен;97578232;DDD_Titanium_7441;4980;3;10;Новогодняя распродажа;п. Владикавказ;Курьер;14940;498;15;2241;339;11862;Склад 2;25.01.2025
ORD636470;Доставлен;51684723;DDD_Green_6168;7180;1;5;Черная пятница;к. Мезень;Курьер;7180;359;10;718;274;5829;Склад 2;22.09.2025
ORD766443;Доставлен;44373202;AAA_Purple_7609;1580;1;10;Новогодняя распродажа;клх Чокурдах;Постамат;1580;158;15;237;492;693;Склад 1;01.07.2025
ORD712310;Доставлен;11732154;BBB_Green_4467;4980;1;0;Новогодняя распродажа;клх Троицко-Печорск;Постамат;4980;0;13;647,4;242;4090,6;Склад 2;23.01.2025
ORD862071;В пути;59197687;GGG_Blue_7759;9180;2;20;Новогодняя распродажа;клх Курильск;Курьер;18360;1836;15;2754;345;13425;Склад 3;19.08.2025
ORD302165;Отменен;96808638;AAA_Titanium_9014;2933;1;20;Новогодняя распродажа;к. Шахты;ПВЗ;2933;586,6;17;498,61;224;1623,79;Склад 3;16.03.2025
ORD930014;В пути;27378295;GGG_Blue_2566;900;1;10;Новогодняя распродажа;ст. Юровск;Курьер;900;90;16;144;496;170;Склад 3;25.06.2025
ORD872256;В пути;71218572;BBB_White_1747;3100;2;20;Новогодняя распродажа;к. Тамбей;ПВЗ;6200;620;19;1178;278;4124;Склад 2;21.04.2025
ORD354718;Доставлен;88663806;AAA_Black_2640;1020;2;5;Новогодняя распродажа;с. Тотьма;Постамат;2040;51;11;224,4;353;1411,6;Склад 2;26.07.2025
ORD403816;В пути;28074469;HHH_Black_6852;4990;4;10;Нет;г. Калязин;ПВЗ;19960;499;14;2794,4;150;16516,6;Склад 3;29.04.2025
ORD675177;В пути;43049959;EEE_Purple_6689;5500;1;15;Нет;клх Туапсе;Постамат;5500;825;14;770;393;3512;Склад 2;02.09.2025
ORD360591;Доставлен;26492321;EEE_Purple_3803;2300;1;5;Новогодняя распродажа;д. Тобольск;Курьер;2300;115;14;322;207;1656;Склад 3;25.03.2025
ORD969172;В пути;19770679;HHH_Red_1115;7828;1;5;Новогодняя распродажа;д. Тырныауз;Курьер;7828;391,4;16;1252,48;279;5905,12;Склад 1;14.08.2025
ORD341446;Доставлен;12307278;DDD_White_5998;7522;4;5;Нет;клх Борзя;Постамат;30088;376,1;14;4212,32;453;25046,58;Склад 3;31.07.2025
ORD341029;Доставлен;62741760;HHH_Titanium_3383;8990;1;15;Нет;п. Тихвин;Постамат;8990;1348,5;15;1348,5;488;5805;Склад 1;03.06.2025
ORD618048;Доставлен;85505511;FFF_Purple_4867;2000;4;0;Нет;п. Троицко-Печорск;Постамат;8000;0;14;1120;269;6611;Склад 1;21.01.2025
ORD399461;Доставлен;80855016;FFF_Titanium_1848;5990;3;20;Новогодняя распродажа;д. Хоста;Курьер;17970;1198;19;3414,3;433;12924,7;Склад 1;13.03.2025
ORD918840;В пути;44260719;HHH_Purple_8562;3790;4;10;Черная пятница;клх Дубна;Курьер;15160;379;19;2880,4;121;11779,6;Склад 3;10.08.2025
ORD470357;Доставлен;51633895;BBB_Purple_8101;2000;3;0;Черная пятница;г. Слюдянка;ПВЗ;6000;0;13;780;439;4781;Склад 3;07.04.2025
ORD113279;Доставлен;68446959;HHH_Blue_5098;5980;1;10;Черная пятница;ст. Чокурдах;Постамат;5980;598;11;657,8;351;4373,2;Склад 2;29.03.2025
ORD873526;В пути;48819696;BBB_Black_2129;5100;3;20;Черная пятница;г. Ведено;ПВЗ;15300;1020;18;2754;295;11231;Склад 2;09.05.2025
ORD159437;В пути;19991230;GGG_Clear_6751;5380;4;15;Новогодняя распродажа;к. Махачкала;Курьер;21520;807;19;4088,8;455;16169,2;Склад 1;12.03.2025
ORD844963;Отменен;84862533;FFF_Red_8076;7580;2;5;Черная пятница;клх Кимры;ПВЗ;15160;379;12;1819,2;438;12523,8;Склад 3;12.06.2025
ORD503417;В пути;99453640;CCC_Green_7311;11100;3;5;Нет;клх Клин;ПВЗ;33300;555;13;4329;218;28198;Склад 2;25.01.2025
ORD469944;В пути;15752189;HHH_Pink_7554;5100;3;15;Нет;г. Мичуринск;Курьер;15300;765;19;2907;416;11212;Склад 2;04.07.2025
ORD914651;Отменен;61524158;FFF_Blue_7386;5100;1;0;Черная пятница;ст. Шамары;Курьер;5100;0;17;867;139;4094;Склад 2;01.04.2025
ORD585317;В пути;31882676;CCC_Titanium_5561;4980;4;0;Нет;клх Джейрах;Постамат;19920;0;12;2390,4;429;17100,6;Склад 3;27.06.2025
ORD622448;В пути;30155466;GGG_Red_1294;5580;3;10;Новогодняя распродажа;п. Радужный;ПВЗ;16740;558;15;2511;370;13301;Склад 2;11.02.2025
ORD113296;В пути;93626225;FFF_Clear_4303;9990;3;15;Черная пятница;с. Химки;Курьер;29970;1498,5;19;5694,3;135;22642,2;Склад 1;24.07.2025
