Номер отправления,Статус отправления,Ozon ID,Артикул товара,Итоговая стоимость,Количество товаров в отправлении,Скидка %,Акции,Регион доставки,Способ доставки,Сумма отправления,"Скидка, руб.",Вознаграждение %,"Вознаграждение, руб.",Стоимость доставки,К выплате,Склад отгрузки,Дата логистической операции,date,discount_rub,commission_rub,payout,sku,customer_id,order_id,revenue,quantity,discount_percent,shipment_amount,commission_percent,delivery_cost,estimated_cost,profit,margin,Артикул,Ozon Product ID,SKU,Barcode,Контент-рейтинг,Бренд,Метки,Отзывы,Рейтинг,Категория,Тип,"Объем товара, л","Объемный вес, кг","Доступно к продаже по схеме FBO, шт.","Зарезервировано, шт","Доступно к продаже по схеме FBS, шт.","Доступно к продаже по схеме realFBS, шт.","Зарезервировано на моих складах, шт","Текущая цена с учетом скидки, ₽","Цена до скидки (перечеркнутая цена), ₽","Цена Premium, ₽","Размер НДС, %",rating,volume_l,volume_weight_kg,vat_percent,current_price,original_price,has_discount,discount_size
ORD479150,Отменен,25673692,HHH_Titanium_2410,8500,1,15,Нет,с. Челябинск,Постамат,8500,1275,19,1615,201,5409,Склад 1,02.02.2025,2025-02-02,1275.0,1615.0,5409.0,HHH_Titanium_2410,25673692,ORD479150,8500,1,15,8500,19,201,5100.0,259.0,0.030470588235294117,HHH_Titanium_2410,25673692,684628945,RND783300391,'52.5,KZDOO,,0,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,10,0,0,8500.0,11990.0,,0%,4.7,0.36,0.1,0,8500.0,11990.0,True,0.2910758965804837
ORD290474,Доставлен,10991330,GGG_Green_7035,2600,4,0,Черная пятница,д. Нерчинск,Курьер,10400,0,10,1040,155,9205,Склад 1,01.03.2025,2025-03-01,0.0,1040.0,9205.0,GGG_Green_7035,10991330,ORD290474,2600,4,0,10400,10,155,1560.0,7445.0,1.0,GGG_Green_7035,10991330,240790626,RND230779116,'65,Robiton,,5,'4.20,Батарейки и аккумуляторы,Аккумуляторная батарейка,'0.15,'0.1,3,0,4,0,0,2600.0,11990.0,,0%,4.2,0.15,0.1,0,2600.0,11990.0,True,0.7831526271893244
ORD775156,Доставлен,96985825,HHH_Purple_2504,3200,1,15,Новогодняя распродажа,ст. Юрьев-Польский,Курьер,3200,480,17,544,187,1989,Склад 2,22.08.2025,2025-08-22,480.0,544.0,1989.0,HHH_Purple_2504,96985825,ORD775156,3200,1,15,3200,17,187,1920.0,19.0,0.0059375,HHH_Purple_2504,96985825,672230539,"6,70004E+12",'45,KZDOO,,12,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,8,0,0,3200.0,11990.0,,0%,4.8,0.36,0.1,0,3200.0,11990.0,True,0.7331109257714762
ORD269078,Доставлен,41515025,DDD_Purple_3677,980,4,5,Черная пятница,д. Чебаркуль,Курьер,3920,49,16,"627,2",331,"2912,8",Склад 1,19.09.2025,2025-09-19,49.0,627.2,2912.8,DDD_Purple_3677,41515025,ORD269078,980,4,5,3920,16,331,588.0,2124.8,1.0,DDD_Purple_3677,41515025,637541578,RND155673315,'65,Varta,,0,'5.00,Батарейки и аккумуляторы,Батарейка,'0.04,'0.1,1,0,24,0,0,980.0,4900.0,,0%,5.0,0.04,0.1,0,980.0,4900.0,True,0.8
ORD857346,В пути,60822434,GGG_Pink_4564,9100,1,5,Черная пятница,к. Бронницы,Курьер,9100,455,15,1365,126,7154,Склад 2,27.07.2025,2025-07-27,455.0,1365.0,7154.0,GGG_Pink_4564,60822434,ORD857346,9100,1,5,9100,15,126,5460.0,1644.0,0.18065934065934067,GGG_Pink_4564,60822434,466619508,RND649391562,'77.5,KZDOO,,67,'4.80,Чехлы,Чехол для смартфона,'1.30,'0.3,19,0,0,0,0,9100.0,11990.0,,0%,4.8,1.3,0.3,0,9100.0,11990.0,True,0.24103419516263552
ORD727936,В пути,73779124,HHH_Clear_8504,5580,3,20,Новогодняя распродажа,ст. Можайск,Курьер,16740,1116,12,"2008,8",273,"13342,2",Склад 3,26.06.2025,2025-06-26,1116.0,2008.8,13342.2,HHH_Clear_8504,73779124,ORD727936,5580,3,20,16740,12,273,3348.0,9844.2,1.0,HHH_Clear_8504,73779124,928755177,"6,55304E+12",'77.5,KZDOO,,28,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,14,0,5,0,0,5580.0,11990.0,,0%,4.9,0.36,0.1,0,5580.0,11990.0,True,0.5346121768140116
ORD517481,В пути,96125000,FFF_Clear_9868,5560,2,15,Новогодняя распродажа,с. Шенкурск,ПВЗ,11120,834,16,"1779,2",154,"8352,8",Склад 1,19.06.2025,2025-06-19,834.0,1779.2,8352.8,FFF_Clear_9868,96125000,ORD517481,5560,2,15,11120,16,154,3336.0,4916.799999999999,0.8843165467625898,FFF_Clear_9868,96125000,520968608,RND988475305,'45,KZDOO,,1,'1.00,Чехлы,Чехол для смартфона,'0.36,'0.1,10,0,0,0,0,5560.0,11990.0,,0%,1.0,0.36,0.1,0,5560.0,11990.0,True,0.53628023352794
ORD990878,В пути,23021957,EEE_Black_4856,1000,4,10,Черная пятница,п. Воронеж,ПВЗ,4000,100,17,680,209,3011,Склад 2,20.07.2025,2025-07-20,100.0,680.0,3011.0,EEE_Black_4856,23021957,ORD990878,1000,4,10,4000,17,209,600.0,2211.0,1.0,EEE_Black_4856,23021957,510078925,"1,32938E+12",'82.5,REMAX,,177,'4.70,Защитные пленки и стекла,Защитное стекло,'0.17,'0.1,0,0,96,0,0,1000.0,4900.0,,0%,4.7,0.17,0.1,0,1000.0,4900.0,True,0.7959183673469388
ORD641941,Отменен,61473853,BBB_Black_4989,6050,1,20,Новогодняя распродажа,клх Мценск,Курьер,6050,1210,11,"665,5",176,"3998,5",Склад 2,01.04.2025,2025-04-01,1210.0,665.5,3998.5,BBB_Black_4989,61473853,ORD641941,6050,1,20,6050,11,176,3630.0,318.5,0.05264462809917356,BBB_Black_4989,61473853,373777507,"6,62916E+12",'70,KZDOO,,2,'5.00,Чехлы,Чехол для смартфона,'0.36,'0.1,2,0,0,0,0,6050.0,11990.0,,0%,5.0,0.36,0.1,0,6050.0,11990.0,True,0.4954128440366973
ORD945104,Отменен,37293235,AAA_Titanium_1777,3090,2,5,Новогодняя распродажа,д. Плес,ПВЗ,6180,"154,5",15,927,453,"4645,5",Склад 2,06.06.2025,2025-06-06,154.5,927.0,4645.5,AAA_Titanium_1777,37293235,ORD945104,3090,2,5,6180,15,453,1854.0,2691.5,0.8710355987055016,AAA_Titanium_1777,37293235,577155238,RND845449862,'77.5,KEEPHONE,,76,'5.00,Чехлы,Чехол для смартфона,'0.38,'0.1,0,0,0,0,0,3090.0,4000.0,,0%,5.0,0.38,0.1,0,3090.0,4000.0,True,0.2275
