Артикул;Ozon Product ID;SKU;Barcode;Контент-рейтинг;Бренд;Метки;Отзывы;Рейтинг;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
AAA_Purple_8362;47545727;752316448;6,54187E+12;'52.5;K-DOO;;151;'4.70;Чехлы;Чехол для смартфона;'0.40;'0.1;11;0;0;0;0;1800.0;11990.0;;0%
AAA_Black_2871;19963943;535321599;2,92409E+12;'45;Нет бренда;;653;'4.60;Кабели и переходники;Кабель-переходник;'0.45;'0.1;262;1;18;0;0;1400.0;7900.0;;0%
FFF_Clear_7965;63341383;505346245;7,09884E+12;'25;Нет бренда;;0;'0.00;Кабели и переходники;Кабель-переходник;'0.32;'0.1;0;0;0;0;0;690.0;0.0;;0%
EEE_Black_2674;48025495;461491532;RND234470604;'60;Panasonic;;441;'0.00;Батарейки и аккумуляторы;Батарейка;'0.22;'0.1;0;0;0;0;0;150.0;500.0;;0%
HHH_Red_6449;69728328;639690535;2,77877E+12;'60;Panasonic;;229;'4.80;Батарейки и аккумуляторы;Батарейка;'0.22;'0.1;0;0;0;0;0;1800.0;4900.0;;0%
AAA_Purple_2792;69845855;595229872;RND490964612;'70;Robiton;;47;'4.80;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.10;'0.1;38;0;105;0;0;5800.0;11990.0;;0%
CCC_Blue_4419;12157882;261713391;RND510831292;'100;K-DOO;;285;'4.90;Чехлы;Чехол для смартфона;'0.40;'0.1;1;0;8;0;2;1600.0;7900.0;;0%
HHH_Titanium_2358;72536399;537033504;3,52767E+12;'100;K-DOO;;285;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;5;0;0;1600.0;11990.0;;0%
DDD_Titanium_6779;69990915;823690442;5,32057E+12;'100;K-DOO;;92;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;8;0;0;1600.0;7900.0;;0%
FFF_Titanium_6126;40542742;404467924;8,47304E+12;'100;K-DOO;;80;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;5200.0;7900.0;;0%
AAA_Purple_4611;49227251;877787690;RND575015371;'92.5;K-DOO;;241;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;1600.0;11990.0;;0%
DDD_White_8173;57336840;476102931;8,52249E+12;'82.5;K-DOO;;102;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;0;0;0;1800.0;11990.0;;0%
