sku,Бренд,Категория,abc_class,xyz_class,abc_xyz_class,revenue,percent_contribution,cv,recommendation
FFF_Clear_4303,KZDOO,Чехлы,A,Z,AZ,99900,0.008530643240387464,1.0,Изучить причины нестабильности
HHH_Pink_2327,KZDOO,Чехлы,A,Z,AZ,95040,0.008115638974638885,1.037346112212187,Изучить причины нестабильности
FFF_Purple_9422,Неизвестно,Чехлы,A,Z,AZ,88800,0.007582793991455524,0.9486832980505138,Изучить причины нестабильности
BBB_White_3663,KZDOO,Чехлы,A,Z,AZ,77700,0.006634944742523583,1.3430260638812868,Изучить причины нестабильности
CCC_Pink_8383,KZDOO,Чехлы,A,Z,AZ,66600,0.005687095493591642,1.5603109666024912,Изучить причины нестабильности
FFF_Titanium_1822,KZDOO,Чехлы,A,Z,AZ,55500,0.004739246244659702,1.3490532229448733,Изучить причины нестабильности
FFF_Black_3829,KZDOO,Чехлы,A,Z,AZ,55500,0.004739246244659702,1.877294514421632,Изучить причины нестабильности
CCC_Green_7311,KZDOO,Чехлы,A,Z,AZ,55500,0.004739246244659702,1.224744871391589,Изучить причины нестабильности
CCC_Green_1403,KZDOO,Чехлы,A,Z,AZ,55500,0.004739246244659702,1.0606601717798214,Изучить причины нестабильности
AAA_Purple_3399,KZDOO,Чехлы,A,Z,AZ,54796,0.004679130400403118,0.7605589428059087,Изучить причины нестабильности
BBB_Blue_8761,KZDOO,Чехлы,A,Z,AZ,51800,0.004423296495015722,0.9656086163658648,Изучить причины нестабильности
BBB_Green_2236,KZDOO,Чехлы,A,Z,AZ,48400,0.004132964292640173,0.8684210526315789,Изучить причины нестабильности
AAA_White_5168,KZDOO,Чехлы,A,Z,AZ,47960,0.004095391889979807,1.6770509831248424,Изучить причины нестабильности
GGG_Blue_7759,KZDOO,Чехлы,A,Z,AZ,45900,0.003919484732069916,1.2,Изучить причины нестабильности
BBB_Green_8505,KZDOO,Чехлы,A,Z,AZ,45900,0.003919484732069916,1.1409000361828303,Изучить причины нестабильности
