Бренд,revenue,profit,order_id,customer_id,quantity,profit_margin,avg_revenue_per_order,revenue_share
K-DOO,601024,784534.78,137,48,335,1.25,4387.036496350365,5.1
KEEPHONE,1743949,2401593.49,341,128,860,1.36,5114.219941348973,14.9
KZDOO,8575038,11750889.1,1551,569,3927,1.35,5528.715667311412,73.2
Panasonic,10220,12047.7,10,4,25,0.34,1022.0,0.1
REMAX,122452,142129.3,84,25,223,1.12,1457.7619047619048,1.0
Raigor,31080,46201.2,6,1,16,1.49,5180.0,0.3
Renata,25920,35731.5,16,6,41,1.28,1620.0,0.2
Robiton,296250,347191.8,135,51,336,1.04,2194.4444444444443,2.5
Varta,21900,28193.0,16,8,46,1.33,1368.75,0.2
Неизвестно,206660,221471.2,20,7,43,1.08,10333.0,1.8
Нет бренда,76230,93295.2,36,14,89,1.01,2117.5,0.7
