customer_id,segment,tier,RFM_Score,RFM_Sum,total_revenue,total_profit,total_orders,total_quantity,first_order,last_order,avg_order_value,avg_profit_per_order,customer_priority,engagement_strategy
25673692,High Value New Customers,Platinum,525,12,25500,15563.0,3,5,2025-02-02,2025-09-14,8500.0,5187.666666666667,Растущие,"VIP обслуживание, персональный менеджер"
10991330,At Risk,Bronze,212,5,5200,11435.0,2,7,2025-03-01,2025-05-18,2600.0,5717.5,Критические,"Восстановительные кампании, опросы"
96985825,High Value New Customers,Gold,424,10,12800,3703.0,4,5,2025-02-01,2025-08-22,3200.0,925.75,Растущие,"VIP обслуживание, персональный менеджер"
41515025,New Customers,Silver,521,8,3920,5546.6,4,12,2025-05-18,2025-09-19,980.0,1386.65,Новые,"Приветственная программа, обучение"
60822434,325,Gold,325,10,27300,34428.0,3,7,2025-06-22,2025-07-27,9100.0,11476.0,Другие,Стандартный маркетинг
73779124,Potential Loyalists,Silver,313,7,11160,15731.2,2,5,2025-06-26,2025-08-01,5580.0,7865.6,Растущие,Персонализированные рекомендации
96125000,New Customers,Silver,413,8,11120,13516.6,2,5,2025-06-19,2025-09-07,5560.0,6758.3,Новые,"Приветственная программа, обучение"
23021957,Potential Loyalists,Silver,321,6,3000,4129.0,3,9,2025-01-18,2025-07-20,1000.0,1376.3333333333333,Растущие,Персонализированные рекомендации
61473853,113,Bronze,113,5,12100,15260.5,2,5,2025-01-15,2025-04-01,6050.0,7630.25,Другие,Стандартный маркетинг
37293235,At Risk,Bronze,212,5,6180,10949.0,2,6,2025-01-15,2025-06-06,3090.0,5474.5,Критические,"Восстановительные кампании, опросы"
81893634,324,Gold,324,9,17940,11563.0,3,5,2025-04-05,2025-08-05,5980.0,3854.3333333333335,Другие,Стандартный маркетинг
91076807,New Customers,Gold,423,9,9270,7751.3,3,6,2025-01-18,2025-08-30,3090.0,2583.766666666667,Новые,"Приветственная программа, обучение"
43502425,High Value New Customers,Gold,514,10,20012,9279.06,2,3,2025-06-12,2025-09-15,10006.0,4639.53,Растущие,"VIP обслуживание, персональный менеджер"
41460381,324,Gold,324,9,15264,25302.52,4,11,2025-02-17,2025-07-25,3816.0,6325.63,Другие,Стандартный маркетинг
80700206,At Risk,Bronze,212,5,5560,11926.4,2,7,2025-01-09,2025-06-17,2780.0,5963.2,Критические,"Восстановительные кампании, опросы"
99772524,At Risk,Bronze,221,5,4400,7389.0,4,13,2025-02-03,2025-05-08,1100.0,1847.25,Критические,"Восстановительные кампании, опросы"
72055283,Cannot Lose Them,Silver,215,8,21960,33059.8,2,5,2025-04-27,2025-05-26,10980.0,16529.9,Критические,"Персональные обращения, специальные условия"
86313043,Loyal Customers,Gold,434,11,20940,22446.1,6,13,2025-03-21,2025-08-24,3490.0,3741.0166666666664,Премиум,"Программа лояльности, перекрестные продажи"
70160612,Champions,Platinum,545,14,54796,117330.52,7,23,2025-01-05,2025-09-22,7828.0,16761.50285714286,Премиум,"Персональные предложения, эксклюзивный доступ"
97578232,235,Gold,235,10,24900,44028.0,5,15,2025-01-03,2025-06-21,4980.0,8805.6,Другие,Стандартный маркетинг
51684723,High Value New Customers,Gold,524,11,21540,22249.0,3,6,2025-02-22,2025-09-22,7180.0,7416.333333333333,Растущие,"VIP обслуживание, персональный менеджер"
44373202,New Customers,Silver,421,7,4740,3537.8,3,6,2025-01-05,2025-08-15,1580.0,1179.2666666666667,Новые,"Приветственная программа, обучение"
11732154,At Risk,Bronze,111,3,4980,1052.6,1,1,2025-01-23,2025-01-23,4980.0,1052.6,Критические,"Восстановительные кампании, опросы"
59197687,Loyal Customers,Platinum,535,13,45900,81537.0,5,15,2025-02-18,2025-09-11,9180.0,16307.4,Премиум,"Программа лояльности, перекрестные продажи"
96808638,Potential Loyalists,Silver,323,8,8799,14379.23,3,9,2025-03-03,2025-07-04,2933.0,4793.076666666667,Растущие,Персонализированные рекомендации
27378295,Potential Loyalists,Silver,321,6,2700,2169.0,3,7,2025-05-28,2025-07-09,900.0,723.0,Растущие,Персонализированные рекомендации
71218572,Loyal Customers,Gold,434,11,15500,20589.0,5,13,2025-02-17,2025-08-23,3100.0,4117.8,Премиум,"Программа лояльности, перекрестные продажи"
88663806,342,Gold,342,9,7140,5679.2,7,16,2025-01-19,2025-07-26,1020.0,811.3142857142857,Другие,Стандартный маркетинг
28074469,Loyal Customers,Platinum,535,13,24950,19276.1,5,9,2025-04-29,2025-09-10,4990.0,3855.22,Премиум,"Программа лояльности, перекрестные продажи"
43049959,High Value New Customers,Platinum,525,12,22000,20353.0,4,8,2025-05-18,2025-09-26,5500.0,5088.25,Растущие,"VIP обслуживание, персональный менеджер"
26492321,Loyal Customers,Gold,333,9,11500,18428.0,5,14,2025-02-08,2025-07-21,2300.0,3685.6,Премиум,"Программа лояльности, перекрестные продажи"
