date,revenue,profit,order_id,customer_id,quantity,year,month,month_name,week,day_of_week,day_of_week_num,avg_order_value,profit_margin
2025-01-01,54800,103243.7,12,11,37,2025,1,January,1,Wednesday,2,4566.666666666667,1.8840091240875911
2025-01-02,66418,88445.76000000001,11,11,30,2025,1,January,1,Thursday,3,6038.0,1.3316534674335272
2025-01-03,33490,30632.3,6,6,15,2025,1,January,1,Friday,4,5581.666666666667,0.9146700507614213
2025-01-04,28606,44356.259999999995,6,6,16,2025,1,January,1,Saturday,5,4767.666666666667,1.5505928826120392
2025-01-05,51708,91162.6,8,8,25,2025,1,January,1,Sunday,6,6463.5,1.7630269977566335
2025-01-06,108030,186823.4,16,16,46,2025,1,January,2,Monday,0,6751.875,1.729365916874942
2025-01-07,40140,63466.8,7,7,19,2025,1,January,2,Tuesday,1,5734.285714285715,1.581136023916293
2025-01-08,51820,94108.7,11,11,31,2025,1,January,2,Wednesday,2,4710.909090909091,1.8160690852952528
2025-01-09,37490,58868.4,8,8,23,2025,1,January,2,Thursday,3,4686.25,1.5702427313950387
2025-01-10,72264,91313.38,12,12,29,2025,1,January,2,Friday,4,6022.0,1.263608158972656
2025-01-11,44790,81933.0,7,7,21,2025,1,January,2,Saturday,5,6398.571428571428,1.82926992632284
2025-01-12,28080,56969.7,6,6,15,2025,1,January,2,Sunday,6,4680.0,2.02883547008547
2025-01-13,54750,62505.2,12,12,29,2025,1,January,3,Monday,0,4562.5,1.1416474885844747
2025-01-14,47360,51248.0,9,9,19,2025,1,January,3,Tuesday,1,5262.222222222223,1.0820945945945946
2025-01-15,76180,112307.7,14,14,36,2025,1,January,3,Wednesday,2,5441.428571428572,1.4742412706747177
2025-01-16,34268,83546.08,9,9,33,2025,1,January,3,Thursday,3,3807.5555555555557,2.438020310493755
2025-01-17,36736,50750.96,5,5,12,2025,1,January,3,Friday,4,7347.2,1.3815047909407665
2025-01-18,37738,61444.58,10,10,27,2025,1,January,3,Saturday,5,3773.8,1.6281885632518946
2025-01-19,21080,33277.5,7,7,20,2025,1,January,3,Sunday,6,3011.4285714285716,1.5786290322580645
2025-01-20,46690,73224.2,10,10,30,2025,1,January,4,Monday,0,4669.0,1.5683058470764617
2025-01-21,19730,32943.6,5,5,13,2025,1,January,4,Tuesday,1,3946.0,1.6697212366953877
2025-01-22,42940,70826.4,6,6,17,2025,1,January,4,Wednesday,2,7156.666666666667,1.6494271075919886
2025-01-23,43480,39630.0,9,9,17,2025,1,January,4,Thursday,3,4831.111111111111,0.9114535418583257
2025-01-24,40250,47411.8,6,6,14,2025,1,January,4,Friday,4,6708.333333333333,1.1779329192546584
2025-01-25,30400,55590.4,6,6,19,2025,1,January,4,Saturday,5,5066.666666666667,1.8286315789473684
2025-01-26,34460,62368.0,5,5,13,2025,1,January,4,Sunday,6,6892.0,1.8098665118978525
2025-01-27,49103,59641.33,10,10,24,2025,1,January,5,Monday,0,4910.3,1.214616825855854
2025-01-28,10104,14546.800000000001,2,2,5,2025,1,January,5,Tuesday,1,5052.0,1.4397070467141728
2025-01-29,34700,51722.0,6,6,17,2025,1,January,5,Wednesday,2,5783.333333333333,1.4905475504322767
2025-01-30,17120,20739.2,4,4,10,2025,1,January,5,Thursday,3,4280.0,1.2114018691588786
2025-01-31,54370,84319.1,8,8,22,2025,1,January,5,Friday,4,6796.25,1.5508386978112931
2025-02-01,46170,55738.600000000006,10,10,22,2025,2,February,5,Saturday,5,4617.0,1.207247130171107
2025-02-02,59300,62546.5,12,12,28,2025,2,February,5,Sunday,6,4941.666666666667,1.0547470489038786
2025-02-03,65770,93847.2,10,10,25,2025,2,February,6,Monday,0,6577.0,1.426899802341493
2025-02-04,42660,50354.8,10,9,23,2025,2,February,6,Tuesday,1,4266.0,1.1803750586029067
2025-02-05,37480,41196.0,7,7,14,2025,2,February,6,Wednesday,2,5354.285714285715,1.0991462113127002
2025-02-06,67438,97154.34,10,10,25,2025,2,February,6,Thursday,3,6743.8,1.440646816335004
2025-02-07,42550,47521.7,9,9,21,2025,2,February,6,Friday,4,4727.777777777777,1.1168437132784959
2025-02-08,40268,65924.92,11,11,31,2025,2,February,6,Saturday,5,3660.7272727272725,1.6371540677461012
2025-02-09,41494,47968.3,8,8,20,2025,2,February,6,Sunday,6,5186.75,1.1560297874391479
2025-02-10,39960,64182.6,10,10,26,2025,2,February,7,Monday,0,3996.0,1.606171171171171
2025-02-11,58280,87051.6,11,11,28,2025,2,February,7,Tuesday,1,5298.181818181818,1.4936787920384353
2025-02-12,44560,37751.4,9,9,21,2025,2,February,7,Wednesday,2,4951.111111111111,0.8472037701974866
2025-02-13,46500,64875.4,9,9,22,2025,2,February,7,Thursday,3,5166.666666666667,1.3951698924731184
2025-02-14,25640,42871.6,6,6,18,2025,2,February,7,Friday,4,4273.333333333333,1.6720592823712948
2025-02-15,56470,116131.3,10,10,32,2025,2,February,7,Saturday,5,5647.0,2.0565131928457587
2025-02-16,27460,35192.1,9,9,22,2025,2,February,7,Sunday,6,3051.1111111111113,1.2815768390386015
2025-02-17,53086,88115.02,11,11,32,2025,2,February,8,Monday,0,4826.0,1.6598541988471538
2025-02-18,40090,51278.0,7,7,17,2025,2,February,8,Tuesday,1,5727.142857142857,1.2790720878024444
2025-02-19,34520,22327.199999999997,6,6,11,2025,2,February,8,Wednesday,2,5753.333333333333,0.6467902665121668
2025-02-20,26940,40022.5,6,6,17,2025,2,February,8,Thursday,3,4490.0,1.4856161841128435
2025-02-21,36380,80160.4,9,9,33,2025,2,February,8,Friday,4,4042.222222222222,2.203419461242441
2025-02-22,55354,57102.64,11,11,22,2025,2,February,8,Saturday,5,5032.181818181818,1.0315901289879683
2025-02-23,29970,25435.0,5,5,9,2025,2,February,8,Sunday,6,5994.0,0.848682015348682
2025-02-24,45130,69975.1,8,8,20,2025,2,February,9,Monday,0,5641.25,1.5505229337469533
2025-02-25,21150,25218.4,6,6,15,2025,2,February,9,Tuesday,1,3525.0,1.1923593380614659
2025-02-26,63540,72584.9,13,13,28,2025,2,February,9,Wednesday,2,4887.692307692308,1.1423497009757633
2025-02-27,37970,31892.0,9,9,20,2025,2,February,9,Thursday,3,4218.888888888889,0.8399262575717672
2025-02-28,51780,44920.0,10,10,19,2025,2,February,9,Friday,4,5178.0,0.8675164156044805
2025-03-01,35540,53224.3,7,6,19,2025,3,March,9,Saturday,5,5077.142857142857,1.4975886325267305
2025-03-02,21740,42460.4,4,4,13,2025,3,March,9,Sunday,6,5435.0,1.9531002759889604
2025-03-03,67781,115674.21,11,11,29,2025,3,March,10,Monday,0,6161.909090909091,1.7065875392809196
2025-03-04,73168,95131.51999999999,14,14,33,2025,3,March,10,Tuesday,1,5226.285714285715,1.300179313361032
2025-03-05,23568,37215.6,4,4,11,2025,3,March,10,Wednesday,2,5892.0,1.5790733197556008
2025-03-06,41390,57830.7,7,7,18,2025,3,March,10,Thursday,3,5912.857142857143,1.3972143029717323
2025-03-07,50708,52473.76,12,12,28,2025,3,March,10,Friday,4,4225.666666666667,1.0348221187978228
2025-03-08,15160,19029.8,5,5,12,2025,3,March,10,Saturday,5,3032.0,1.255263852242744
2025-03-09,44638,64953.939999999995,11,11,27,2025,3,March,10,Sunday,6,4058.0,1.4551265737712262
2025-03-10,15170,28615.1,4,4,12,2025,3,March,11,Monday,0,3792.5,1.8862953197099537
2025-03-11,53730,100941.2,11,11,34,2025,3,March,11,Tuesday,1,4884.545454545455,1.8786748557602828
2025-03-12,45790,58660.200000000004,10,10,27,2025,3,March,11,Wednesday,2,4579.0,1.2810701026424984
2025-03-13,25550,35488.1,5,5,13,2025,3,March,11,Thursday,3,5110.0,1.3889667318982386
2025-03-14,42720,46074.4,10,10,24,2025,3,March,11,Friday,4,4272.0,1.0785205992509364
2025-03-15,39420,74295.90000000001,7,7,19,2025,3,March,11,Saturday,5,5631.428571428572,1.8847260273972606
2025-03-16,46243,57562.39,8,8,20,2025,3,March,11,Sunday,6,5780.375,1.2447806154444998
2025-03-17,35004,33996.72,8,8,16,2025,3,March,12,Monday,0,4375.5,0.9712238601302708
2025-03-18,33720,42894.0,7,7,18,2025,3,March,12,Tuesday,1,4817.142857142857,1.2720640569395019
2025-03-19,34980,50214.8,5,5,12,2025,3,March,12,Wednesday,2,6996.0,1.4355288736420813
2025-03-20,23776,19789.92,6,6,12,2025,3,March,12,Thursday,3,3962.6666666666665,0.8323485868102287
2025-03-21,70994,109614.38,17,15,46,2025,3,March,12,Friday,4,4176.117647058823,1.5439949854917319
2025-03-22,49964,69153.64,11,11,24,2025,3,March,12,Saturday,5,4542.181818181818,1.3840693299175406
2025-03-23,11300,22918.8,4,4,12,2025,3,March,12,Sunday,6,2825.0,2.028212389380531
2025-03-24,32450,21309.8,8,8,14,2025,3,March,13,Monday,0,4056.25,0.6566964560862866
2025-03-25,48440,62849.7,11,11,26,2025,3,March,13,Tuesday,1,4403.636363636364,1.2974752270850536
2025-03-26,22410,33210.1,5,5,14,2025,3,March,13,Wednesday,2,4482.0,1.4819321731369923
2025-03-27,32850,50279.2,8,8,20,2025,3,March,13,Thursday,3,4106.25,1.5305692541856926
2025-03-28,27278,24947.98,8,8,18,2025,3,March,13,Friday,4,3409.75,0.9145824473935039
2025-03-29,37150,56333.8,6,6,17,2025,3,March,13,Saturday,5,6191.666666666667,1.5163876177658144
2025-03-30,33090,68269.3,6,6,19,2025,3,March,13,Sunday,6,5515.0,2.063139921426413
2025-03-31,21984,34553.08,5,5,15,2025,3,March,14,Monday,0,4396.8,1.5717376273653567
2025-04-01,30860,29687.600000000002,8,8,18,2025,4,April,14,Tuesday,1,3857.5,0.9620090732339599
2025-04-02,52844,62651.6,11,11,27,2025,4,April,14,Wednesday,2,4804.0,1.1855953372189842
2025-04-03,51580,63836.90000000001,10,10,24,2025,4,April,14,Thursday,3,5158.0,1.237628925940287
2025-04-04,65940,92884.7,15,15,38,2025,4,April,14,Friday,4,4396.0,1.4086245071276917
2025-04-05,56396,67604.64,10,10,23,2025,4,April,14,Saturday,5,5639.6,1.1987488474359884
2025-04-06,75104,94004.74,12,12,30,2025,4,April,14,Sunday,6,6258.666666666667,1.2516608968896463
2025-04-07,47840,48423.0,8,8,18,2025,4,April,15,Monday,0,5980.0,1.0121864548494983
2025-04-08,32710,56862.8,6,6,18,2025,4,April,15,Tuesday,1,5451.666666666667,1.7383919290736778
2025-04-09,20018,32533.22,3,3,8,2025,4,April,15,Wednesday,2,6672.666666666667,1.6251983215106405
2025-04-10,39160,41531.0,12,12,26,2025,4,April,15,Thursday,3,3263.3333333333335,1.0605464759959142
2025-04-11,57040,31065.1,10,10,16,2025,4,April,15,Friday,4,5704.0,0.5446195652173913
2025-04-12,58750,103235.3,11,11,32,2025,4,April,15,Saturday,5,5340.909090909091,1.757196595744681
2025-04-13,57948,103208.78,10,10,26,2025,4,April,15,Sunday,6,5794.8,1.7810585352384896
2025-04-14,28040,40021.2,7,7,20,2025,4,April,16,Monday,0,4005.714285714286,1.4272895863052781
2025-04-15,35230,36277.0,9,9,20,2025,4,April,16,Tuesday,1,3914.4444444444443,1.0297189894975873
2025-04-16,51790,40879.1,10,10,19,2025,4,April,16,Wednesday,2,5179.0,0.7893241938598184
2025-04-17,45036,82976.4,9,9,26,2025,4,April,16,Thursday,3,5004.0,1.8424460431654675
2025-04-18,41856,54178.28,10,10,27,2025,4,April,16,Friday,4,4185.6,1.294396980122324
2025-04-19,39700,37455.3,7,7,13,2025,4,April,16,Saturday,5,5671.428571428572,0.9434584382871537
2025-04-20,51252,89029.18,12,11,34,2025,4,April,16,Sunday,6,4271.0,1.7370869429485678
2025-04-21,41508,40321.42,8,8,15,2025,4,April,17,Monday,0,5188.5,0.9714132215476534
2025-04-22,43976,62951.24,12,12,29,2025,4,April,17,Tuesday,1,3664.6666666666665,1.4314908131708204
2025-04-23,58370,37513.7,11,11,22,2025,4,April,17,Wednesday,2,5306.363636363636,0.6426880246702072
2025-04-24,63540,72934.59999999999,13,13,29,2025,4,April,17,Thursday,3,4887.692307692308,1.147853320742839
2025-04-25,25160,22776.2,5,5,13,2025,4,April,17,Friday,4,5032.0,0.9052543720190779
2025-04-26,68300,82546.2,16,16,36,2025,4,April,17,Saturday,5,4268.75,1.2085827232796487
2025-04-27,14440,13104.199999999999,3,3,6,2025,4,April,17,Sunday,6,4813.333333333333,0.9074930747922437
2025-04-28,31880,44656.6,7,7,15,2025,4,April,18,Monday,0,4554.285714285715,1.400771643663739
2025-04-29,54950,109184.6,9,9,30,2025,4,April,18,Tuesday,1,6105.555555555556,1.9869808917197453
2025-04-30,25570,37808.3,5,5,13,2025,4,April,18,Wednesday,2,5114.0,1.478619475948377
2025-05-01,41600,61656.3,8,8,20,2025,5,May,18,Thursday,3,5200.0,1.4821225961538462
2025-05-02,63620,75576.4,12,12,26,2025,5,May,18,Friday,4,5301.666666666667,1.1879346117573089
2025-05-03,23500,45720.2,6,6,19,2025,5,May,18,Saturday,5,3916.6666666666665,1.9455404255319149
2025-05-04,30110,62901.3,4,4,16,2025,5,May,18,Sunday,6,7527.5,2.0890501494520093
2025-05-05,30300,40224.4,5,5,12,2025,5,May,19,Monday,0,6060.0,1.3275379537953795
2025-05-06,30960,63731.1,6,6,21,2025,5,May,19,Tuesday,1,5160.0,2.058498062015504
2025-05-07,48016,67144.45999999999,11,11,26,2025,5,May,19,Wednesday,2,4365.090909090909,1.3983767910696432
2025-05-08,43530,93536.79999999999,8,8,27,2025,5,May,19,Thursday,3,5441.25,2.1487893406845853
2025-05-09,41880,17494.9,9,9,14,2025,5,May,19,Friday,4,4653.333333333333,0.41773877745940785
2025-05-10,49090,57471.299999999996,7,7,17,2025,5,May,19,Saturday,5,7012.857142857143,1.1707333469138317
2025-05-11,41760,40392.6,6,6,16,2025,5,May,19,Sunday,6,6960.0,0.9672557471264367
2025-05-12,69978,81949.94,12,12,28,2025,5,May,20,Monday,0,5831.5,1.171081482751722
2025-05-13,68640,109026.5,13,13,41,2025,5,May,20,Tuesday,1,5280.0,1.5883814102564102
2025-05-14,43020,53401.7,9,9,24,2025,5,May,20,Wednesday,2,4780.0,1.241322640632264
2025-05-15,43940,59382.3,10,10,25,2025,5,May,20,Thursday,3,4394.0,1.3514406008192992
2025-05-16,61390,71799.6,11,11,28,2025,5,May,20,Friday,4,5580.909090909091,1.1695650757452354
2025-05-17,38338,47461.68,8,8,20,2025,5,May,20,Saturday,5,4792.25,1.237980071991236
2025-05-18,58040,107921.7,12,11,35,2025,5,May,20,Sunday,6,4836.666666666667,1.8594365954514127
2025-05-19,33020,54533.8,6,6,17,2025,5,May,21,Monday,0,5503.333333333333,1.6515384615384616
2025-05-20,72450,113295.6,12,12,31,2025,5,May,21,Tuesday,1,6037.5,1.563776397515528
2025-05-21,50316,53797.700000000004,11,11,25,2025,5,May,21,Wednesday,2,4574.181818181818,1.0691966770013515
2025-05-22,42238,30278.58,8,8,17,2025,5,May,21,Thursday,3,5279.75,0.7168563852455135
2025-05-23,62724,119518.58,10,10,33,2025,5,May,21,Friday,4,6272.4,1.9054680823927046
2025-05-24,25560,44115.6,6,6,16,2025,5,May,21,Saturday,5,4260.0,1.725962441314554
2025-05-25,11650,24940.5,4,4,12,2025,5,May,21,Sunday,6,2912.5,2.140815450643777
2025-05-26,30000,47963.8,7,7,19,2025,5,May,22,Monday,0,4285.714285714285,1.5987933333333335
2025-05-27,29138,51504.18,7,7,19,2025,5,May,22,Tuesday,1,4162.571428571428,1.7675948932665249
2025-05-28,58298,75576.7,12,12,29,2025,5,May,22,Wednesday,2,4858.166666666667,1.2963858108339907
2025-05-29,54558,66273.3,12,12,31,2025,5,May,22,Thursday,3,4546.5,1.2147311118442758
2025-05-30,29988,56410.38,5,5,16,2025,5,May,22,Friday,4,5997.6,1.8810984393757502
2025-05-31,40268,45028.72,10,10,22,2025,5,May,22,Saturday,5,4026.8,1.1182258865600476
2025-06-01,49648,59422.0,8,8,17,2025,6,June,22,Sunday,6,6206.0,1.1968659361907832
2025-06-02,30160,48752.0,7,7,20,2025,6,June,23,Monday,0,4308.571428571428,1.6164456233421751
2025-06-03,72596,67518.3,13,13,29,2025,6,June,23,Tuesday,1,5584.307692307692,0.930055374951788
