sku,Бренд,Категория,Тип,current_price,original_price,rating,volume_l,volume_weight_kg,vat_percent,abc_class,xyz_class,abc_xyz_class,revenue,percent_contribution,cv,strategic_recommendation,priority
HHH_Titanium_2410,KZDOO,Чехлы,Чехол для смартфона,8500.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,25500,0.0021774915178166,1.824828759089466,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Green_7035,Robiton,Батарейки и аккумуляторы,Аккумуляторная батарейка,2600.0,11990.0,4.2,0.15,0.1,0,C,Z,CZ,5200,0.0004440374859861,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
HHH_Purple_2504,KZDOO,Чехлы,Чехол для смартфона,3200.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,12800,0.0010930153501197,1.307669683062202,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Purple_3677,Varta,Батарейки и аккумуляторы,Батарейка,980.0,4900.0,5.0,0.04,0.1,0,C,Z,CZ,3920,0.0003347359509741,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
GGG_Pink_4564,KZDOO,Чехлы,Чехол для смартфона,9100.0,11990.0,4.8,1.3,0.3,0,A,Z,AZ,27300,0.0023311968014272,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Clear_8504,KZDOO,Чехлы,Чехол для смартфона,5580.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,11160,0.0009529727583856,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Clear_9868,KZDOO,Чехлы,Чехол для смартфона,5560.0,11990.0,1.0,0.36,0.1,0,A,Z,AZ,11120,0.0009495570854165,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Black_4856,REMAX,Защитные пленки и стекла,Защитное стекло,1000.0,4900.0,4.7,0.17,0.1,0,C,Z,CZ,3000,0.0002561754726843,1.5811388300841898,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_Black_4989,KZDOO,Чехлы,Чехол для смартфона,6050.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,12100,0.00103324107316,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Titanium_1777,KEEPHONE,Чехлы,Чехол для смартфона,3090.0,4000.0,5.0,0.38,0.1,0,B,Z,BZ,6180,0.0005277214737296,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Red_7442,KZDOO,Чехлы,Чехол для смартфона,5980.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,17940,0.0015319293266521,1.824828759089466,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Red_5295,KEEPHONE,Чехлы,Чехол для смартфона,3090.0,3990.0,4.8,0.39,0.1,0,B,Z,BZ,9270,0.0007915822105945,1.6770509831248424,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
BBB_Blue_7291,KZDOO,Чехлы,Чехол для смартфона,10006.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,20012,0.0017088611864527,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Green_6938,KZDOO,Чехлы,Чехол для смартфона,3816.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,15264,0.0013034208050177,1.518481189862733,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Black_9217,KZDOO,Чехлы,Чехол для смартфона,2780.0,11990.0,4.9,0.41,0.1,0,B,Z,BZ,5560,0.0004747785427082,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Purple_5307,KZDOO,Чехлы,Чехол для смартфона,1100.0,1990.0,4.9,0.36,0.1,0,C,Z,CZ,4400,0.0003757240266036,1.7346111205814894,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
DDD_Purple_2787,KZDOO,Чехлы,Чехол для смартфона,10980.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,21960,0.0018752044600491,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Purple_9765,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,0.36,0.1,0,A,Z,AZ,20940,0.0017881047993364,1.3003185772597667,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Purple_3399,KZDOO,Чехлы,Чехол для смартфона,7828.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,54796,0.0046791304004031,0.7605589428059087,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Titanium_7441,K-DOO,Чехлы,Чехол для наушников,4980.0,11990.0,4.9,0.27,0.1,0,A,Z,AZ,24900,0.0021262564232797,1.438749456993816,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Green_6168,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,21540,0.0018393398938733,1.984313483298443,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Purple_7609,REMAX,Защитные пленки и стекла,Защитное стекло,1580.0,7900.0,5.0,0.17,0.1,0,C,Z,CZ,4740,0.0004047572468412,1.6770509831248424,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_Green_4467,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.7,0.36,0.1,0,C,Z,CZ,4980,0.0004252512846559,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
GGG_Blue_7759,KZDOO,Чехлы,Чехол для смартфона,9180.0,11990.0,4.5,0.36,0.1,0,A,Z,AZ,45900,0.0039194847320699,1.2,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Titanium_9014,KEEPHONE,Чехлы,Чехол для смартфона,2933.0,4750.0,5.0,0.28,0.1,0,B,Z,BZ,8799,0.000751362661383,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Blue_2566,Robiton,Батарейки и аккумуляторы,Батарейка,900.0,2900.0,4.7,0.01,0.1,0,C,Z,CZ,2700,0.0002305579254158,1.792842914001591,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_White_1747,KZDOO,Чехлы,Чехол для смартфона,3100.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,15500,0.0013235732755355,1.3456042834258386,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Black_2640,Robiton,Батарейки и аккумуляторы,Батарейка,1020.0,4900.0,5.0,0.02,0.1,0,B,Z,BZ,7140,0.0006096976249886,1.21875,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
HHH_Black_6852,KZDOO,Чехлы,Чехол для смартфона,4990.0,8000.0,4.8,0.36,0.1,0,A,Z,AZ,24950,0.0021305260144911,1.5,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Purple_6689,KZDOO,Чехлы,Чехол для смартфона,5500.0,11000.0,0.0,0.36,0.1,0,A,Z,AZ,22000,0.0018786201330182,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Purple_3803,Renata,Батарейки и аккумуляторы,Батарейка,2300.0,7900.0,5.0,0.04,0.1,0,A,Z,AZ,11500,0.0009820059786231,1.0714285714285714,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Red_1115,K-DOO,Чехлы,Чехол для смартфона,7828.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,39140,0.0033422360002879,1.9364916731037085,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_White_5998,KZDOO,Чехлы,Чехол для смартфона,7522.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,30088,0.0025692692073751,1.6770509831248424,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
