date,order_id,customer_id,sku,revenue,quantity,profit,margin,year,month,week,day_of_week,day_of_month,month_name,Бренд,Категория,Тип,current_price,segment,tier,avg_price,profit_margin
2025-02-02,ORD479150,25673692,HHH_Titanium_2410,8500,1,259.0,0.0304705882352941,2025,2,5,Sunday,2,February,KZDOO,Чехлы,Чехол для смартфона,8500.0,High Value New Customers,Platinum,8500.0,0.030470588235294117
2025-03-01,ORD290474,10991330,GGG_Green_7035,2600,4,7445.0,1.0,2025,3,9,Saturday,1,March,Robiton,Батарейки и аккумуляторы,Аккумуляторная батарейка,2600.0,At Risk,Bronze,650.0,2.8634615384615385
2025-08-22,ORD775156,96985825,HHH_Purple_2504,3200,1,19.0,0.0059375,2025,8,34,Friday,22,August,KZDOO,Чехлы,Чехол для смартфона,3200.0,High Value New Customers,Gold,3200.0,0.0059375
2025-09-19,ORD269078,41515025,DDD_Purple_3677,980,4,2124.8,1.0,2025,9,38,Friday,19,September,Varta,Батарейки и аккумуляторы,Батарейка,980.0,New Customers,Silver,245.0,2.1681632653061227
2025-07-27,ORD857346,60822434,GGG_Pink_4564,9100,1,1644.0,0.1806593406593406,2025,7,30,Sunday,27,July,KZDOO,Чехлы,Чехол для смартфона,9100.0,325,Gold,9100.0,0.18065934065934067
2025-06-26,ORD727936,73779124,HHH_Clear_8504,5580,3,9844.2,1.0,2025,6,26,Thursday,26,June,KZDOO,Чехлы,Чехол для смартфона,5580.0,Potential Loyalists,Silver,1860.0,1.764193548387097
2025-06-19,ORD517481,96125000,FFF_Clear_9868,5560,2,4916.799999999999,0.8843165467625898,2025,6,25,Thursday,19,June,KZDOO,Чехлы,Чехол для смартфона,5560.0,New Customers,Silver,2780.0,0.8843165467625898
2025-07-20,ORD990878,23021957,EEE_Black_4856,1000,4,2211.0,1.0,2025,7,29,Sunday,20,July,REMAX,Защитные пленки и стекла,Защитное стекло,1000.0,Potential Loyalists,Silver,250.0,2.211
2025-04-01,ORD641941,61473853,BBB_Black_4989,6050,1,318.5,0.0526446280991735,2025,4,14,Tuesday,1,April,KZDOO,Чехлы,Чехол для смартфона,6050.0,113,Bronze,6050.0,0.05264462809917356
2025-06-06,ORD945104,37293235,AAA_Titanium_1777,3090,2,2691.5,0.8710355987055016,2025,6,23,Friday,6,June,KEEPHONE,Чехлы,Чехол для смартфона,3090.0,At Risk,Bronze,1545.0,0.8710355987055016
2025-06-12,ORD593281,81893634,GGG_Red_7442,5980,1,404.1999999999998,0.0675919732441471,2025,6,24,Thursday,12,June,KZDOO,Чехлы,Чехол для смартфона,5980.0,324,Gold,5980.0,0.06759197324414713
2025-01-18,ORD530990,91076807,AAA_Red_5295,3090,2,2048.6,0.6629773462783172,2025,1,3,Saturday,18,January,KEEPHONE,Чехлы,Чехол для смартфона,3090.0,New Customers,Gold,1545.0,0.6629773462783172
2025-09-15,ORD503940,43502425,BBB_Blue_7291,10006,2,9152.7,0.9147211672996204,2025,9,38,Monday,15,September,KZDOO,Чехлы,Чехол для смартфона,10006.0,High Value New Customers,Gold,5003.0,0.9147211672996203
2025-05-29,ORD576104,41460381,AAA_Green_6938,3816,1,373.72000000000025,0.0979350104821803,2025,5,22,Thursday,29,May,KZDOO,Чехлы,Чехол для смартфона,3816.0,324,Gold,3816.0,0.09793501048218035
2025-06-17,ORD101019,80700206,BBB_Black_9217,2780,4,6998.4,1.0,2025,6,25,Tuesday,17,June,KZDOO,Чехлы,Чехол для смартфона,2780.0,At Risk,Bronze,695.0,2.5174100719424457
2025-05-08,ORD455346,99772524,GGG_Purple_5307,1100,4,2894.0,1.0,2025,5,19,Thursday,8,May,KZDOO,Чехлы,Чехол для смартфона,1100.0,At Risk,Bronze,275.0,2.630909090909091
2025-05-26,ORD258093,72055283,DDD_Purple_2787,10980,3,22519.0,1.0,2025,5,22,Monday,26,May,KZDOO,Чехлы,Чехол для смартфона,10980.0,Cannot Lose Them,Silver,3660.0,2.050910746812386
2025-03-21,ORD233161,86313043,CCC_Purple_9765,3490,2,3534.9,1.0,2025,3,12,Friday,21,March,KZDOO,Чехлы,Чехол для смартфона,3490.0,Loyal Customers,Gold,1745.0,1.012865329512894
2025-02-08,ORD575676,70160612,AAA_Purple_3399,7828,3,14419.920000000002,1.0,2025,2,6,Saturday,8,February,KZDOO,Чехлы,Чехол для смартфона,7828.0,Champions,Platinum,2609.3333333333335,1.8420950434338275
2025-01-25,ORD253973,97578232,DDD_Titanium_7441,4980,3,8724.0,1.0,2025,1,4,Saturday,25,January,K-DOO,Чехлы,Чехол для наушников,4980.0,235,Gold,1660.0,1.7518072289156625
2025-09-22,ORD636470,51684723,DDD_Green_6168,7180,1,1471.0,0.2048746518105849,2025,9,39,Monday,22,September,KZDOO,Чехлы,Чехол для смартфона,7180.0,High Value New Customers,Gold,7180.0,0.20487465181058495
2025-07-01,ORD766443,44373202,AAA_Purple_7609,1580,1,-305.0,-0.1930379746835443,2025,7,27,Tuesday,1,July,REMAX,Защитные пленки и стекла,Защитное стекло,1580.0,New Customers,Silver,1580.0,-0.1930379746835443
2025-01-23,ORD712310,11732154,BBB_Green_4467,4980,1,1052.6,0.2113654618473895,2025,1,4,Thursday,23,January,KZDOO,Чехлы,Чехол для смартфона,4980.0,At Risk,Bronze,4980.0,0.21136546184738955
2025-08-19,ORD862071,59197687,GGG_Blue_7759,9180,2,7817.0,0.851525054466231,2025,8,34,Tuesday,19,August,KZDOO,Чехлы,Чехол для смартфона,9180.0,Loyal Customers,Platinum,4590.0,0.851525054466231
2025-03-16,ORD302165,96808638,AAA_Titanium_9014,2933,1,-186.01,-0.0634197067848619,2025,3,11,Sunday,16,March,KEEPHONE,Чехлы,Чехол для смартфона,2933.0,Potential Loyalists,Silver,2933.0,-0.06341970678486192
2025-06-25,ORD930014,27378295,GGG_Blue_2566,900,1,-420.0,-0.4666666666666667,2025,6,26,Wednesday,25,June,Robiton,Батарейки и аккумуляторы,Батарейка,900.0,Potential Loyalists,Silver,900.0,-0.4666666666666667
2025-04-21,ORD872256,71218572,BBB_White_1747,3100,2,2164.0,0.6980645161290323,2025,4,17,Monday,21,April,KZDOO,Чехлы,Чехол для смартфона,3100.0,Loyal Customers,Gold,1550.0,0.6980645161290323
2025-07-26,ORD354718,88663806,AAA_Black_2640,1020,2,699.5999999999999,0.6858823529411764,2025,7,30,Saturday,26,July,Robiton,Батарейки и аккумуляторы,Батарейка,1020.0,342,Gold,510.0,0.6858823529411764
