revenue,orders,customers,aov,total_quantity,avg_items_per_order,total_profit,avg_profit_per_order,avg_margin,profitable_orders,profitable_orders_ratio,Бренд
601024,137,48,4387.036496350365,335,2.4452554744525545,784534.78,5726.531240875913,0.6856462156602995,122,0.8905109489051095,K-DOO
1743949,341,128,5114.219941348973,860,2.5219941348973607,2401593.49,7042.796158357772,0.7375074834793037,328,0.9618768328445748,KEEPHONE
8534704,1554,571,5492.087516087516,3911,2.5167310167310166,11700898.3,7529.535585585586,0.748880776850955,1480,0.9511568123393316,KZDOO
10220,10,4,1022.0,25,2.5,12047.7,1204.77,0.07922063492063494,5,0.5,Panasonic
115266,84,25,1372.2142857142858,216,2.5714285714285716,135150.3,1608.9321428571427,0.6496797180814003,70,0.8333333333333334,REMAX
31080,6,1,5180.0,16,2.6666666666666665,46201.2,7700.2,0.8309974259974261,6,1.0,Raigor
25920,16,6,1620.0,41,2.5625,35731.5,2233.21875,0.7023463133982298,14,0.875,Renata
296250,135,51,2194.4444444444443,336,2.488888888888889,347191.8,2571.791111111111,0.6109791244698259,109,0.8074074074074075,Robiton
69420,25,10,2776.8,69,2.76,85162.8,3406.512,0.7245712760446947,22,0.88,Varta
206660,20,7,10333.0,43,2.15,221471.19999999998,11073.56,0.7271207631429494,20,1.0,Неизвестно
76230,36,14,2117.5,89,2.4722222222222223,93295.20000000001,2591.5333333333338,0.636608891690102,31,0.8611111111111112,Нет бренда
