customer_id,orders,total_revenue,total_profit,first_order,last_order,avg_order_value,avg_profit_per_order
10052142,1,2880,7287.2,2025-04-02,2025-04-02,2880.0,7287.2
10060494,4,20720,19970.4,2025-02-01,2025-09-17,5180.0,4992.6
10145273,5,17450,25525.3,2025-02-26,2025-09-20,3490.0,5105.0599999999995
10226963,1,9180,15819.4,2025-05-16,2025-05-16,9180.0,15819.4
10425403,2,7000,9879.0,2025-02-20,2025-09-18,3500.0,4939.5
10678165,2,6980,6499.6,2025-01-11,2025-04-07,3490.0,3249.8
10769708,1,5580,9714.4,2025-06-10,2025-06-10,5580.0,9714.4
10991330,2,5200,11435.0,2025-03-01,2025-05-18,2600.0,5717.5
11000967,2,10248,8734.12,2025-02-22,2025-03-31,5124.0,4367.06
11135499,2,11960,25408.4,2025-02-13,2025-05-16,5980.0,12704.2
11146662,2,2000,1235.0,2025-01-08,2025-03-27,1000.0,617.5
11165756,2,12980,23290.6,2025-06-28,2025-08-05,6490.0,11645.3
11351952,3,6000,6481.0,2025-03-07,2025-08-02,2000.0,2160.3333333333335
11460725,2,15160,21220.8,2025-07-06,2025-07-13,7580.0,10610.4
11476432,1,6380,11468.2,2025-02-03,2025-02-03,6380.0,11468.2
11575539,5,27500,37054.0,2025-02-02,2025-08-30,5500.0,7410.8
11615968,1,1460,3524.6,2025-02-20,2025-02-20,1460.0,3524.6
11723919,4,12720,12455.4,2025-01-13,2025-05-21,3180.0,3113.85
11732154,1,4980,1052.6,2025-01-23,2025-01-23,4980.0,1052.6
11854043,1,1900,5318.0,2025-06-19,2025-06-19,1900.0,5318.0
11935679,3,19740,35602.2,2025-02-01,2025-04-03,6580.0,11867.4
12001967,3,8700,14401.0,2025-02-23,2025-07-10,2900.0,4800.333333333333
12105804,3,23484,61528.84,2025-05-23,2025-07-14,7828.0,20509.61333333333
12133233,3,12300,22051.0,2025-02-15,2025-07-07,4100.0,7350.333333333333
12157882,4,6400,9075.0,2025-03-12,2025-08-26,1600.0,2268.75
12197069,1,6380,732.4,2025-03-04,2025-03-04,6380.0,732.4
12307278,4,30088,56673.38,2025-05-29,2025-08-10,7522.0,14168.345
12494667,3,8940,7012.8,2025-01-24,2025-09-08,2980.0,2337.6
12636113,1,1000,1525.0,2025-02-08,2025-02-08,1000.0,1525.0
12665141,4,22320,26127.2,2025-01-23,2025-07-08,5580.0,6531.8
12743240,1,2490,4218.0,2025-02-27,2025-02-27,2490.0,4218.0
12911883,4,2720,1765.8,2025-01-16,2025-06-17,680.0,441.45
12919215,1,1320,1250.6,2025-01-06,2025-01-06,1320.0,1250.6
13307981,4,10800,8958.0,2025-01-15,2025-07-30,2700.0,2239.5
13391135,2,6980,12120.1,2025-04-06,2025-04-24,3490.0,6060.05
