revenue,orders,customers,aov,total_quantity,avg_items_per_order,total_profit,avg_profit_per_order,avg_margin,profitable_orders,profitable_orders_ratio,sku,Бренд,Категория,Тип,current_price,rating
99900,10,1,9990.0,27,2.7,153404.3,15340.429999999998,0.8093713713713713,10,1.0,FFF_Clear_4303,KZDOO,Чехлы,Чехол для смартфона,9990.0,0.0
95040,9,2,10560.0,46,5.111111111111111,113939.6,12659.955555555556,0.6629952617863065,16,0.8888888888888888,HHH_Pink_2327,KZDOO,Чехлы,Чехол для смартфона,9380.0,4.8
88800,8,1,11100.0,15,1.875,74336.0,9292.0,0.6573536036036036,8,1.0,FFF_Purple_9422,Неизвестно,Чехлы,Неизвестно,11100.0,5.0
77700,7,1,11100.0,11,1.5714285714285714,47915.0,6845.0,0.5055212355212355,7,1.0,BBB_White_3663,KZDOO,Чехлы,Чехол для смартфона,11100.0,4.8
66600,6,1,11100.0,16,2.6666666666666665,102646.0,17107.666666666668,0.8358108108108108,6,1.0,CCC_Pink_8383,KZDOO,Чехлы,Чехол для смартфона,11100.0,5.0
55500,5,1,11100.0,19,3.8,131297.0,26259.4,1.0,5,1.0,FFF_Titanium_1822,KZDOO,Чехлы,Чехол для смартфона,11100.0,5.0
55500,5,1,11100.0,14,2.8,96388.0,19277.6,0.8154954954954956,5,1.0,FFF_Black_3829,KZDOO,Чехлы,Чехол для смартфона,11100.0,4.8
55500,5,1,11100.0,9,1.8,45942.0,9188.4,0.6173873873873873,5,1.0,CCC_Green_7311,KZDOO,Чехлы,Чехол для смартфона,11100.0,4.8
55500,5,1,11100.0,12,2.4,74237.0,14847.4,0.9844504504504504,5,1.0,CCC_Green_1403,KZDOO,Чехлы,Чехол для смартфона,11100.0,5.0
54796,7,1,7828.0,23,3.2857142857142856,117330.52,16761.50285714286,0.8740586904153587,7,1.0,AAA_Purple_3399,KZDOO,Чехлы,Чехол для смартфона,7828.0,4.6
51800,10,1,5180.0,25,2.5,70932.59999999999,7093.259999999999,0.8686023166023167,9,0.9,BBB_Blue_8761,KZDOO,Чехлы,Чехол для смартфона,5180.0,4.9
48400,8,1,6050.0,19,2.375,60146.5,7518.3125,0.7552169421487603,8,1.0,BBB_Green_2236,KZDOO,Чехлы,Чехол для смартфона,6050.0,5.0
47960,4,1,11990.0,12,3.0,88541.2,22135.3,0.978302752293578,4,1.0,AAA_White_5168,KZDOO,Чехлы,Чехол для смартфона,11990.0,5.0
45900,5,1,9180.0,15,3.0,81537.0,16307.4,0.7757952069716776,5,1.0,GGG_Blue_7759,KZDOO,Чехлы,Чехол для смартфона,9180.0,4.5
45900,5,1,9180.0,11,2.2,51473.399999999994,10294.679999999998,0.643912854030501,5,1.0,BBB_Green_8505,KZDOO,Чехлы,Чехол для смартфона,9180.0,4.5
