revenue,profit,margin,current_price,sku,order_id,avg_margin,revenue_per_sku
8534704,11700898.3,0.75,5515.43,569,1554,137.1,14999.0
1743949,2401593.49,0.74,5114.22,128,341,137.7,13625.0
601024,784534.78,0.69,4387.04,48,137,130.5,12521.0
296250,347191.8,0.61,2194.44,51,135,117.2,5809.0
206660,221471.2,0.73,10333.0,7,20,107.2,29523.0
115266,135150.3,0.65,1310.24,24,84,117.3,4803.0
76230,93295.2,0.64,2117.5,14,36,122.4,5445.0
69420,85162.8,0.72,1596.0,9,25,122.7,7713.0
31080,46201.2,0.83,5180.0,1,6,148.7,31080.0
25920,35731.5,0.7,1620.0,6,16,137.9,4320.0
10220,12047.7,0.08,1022.0,4,10,117.9,2555.0
