sku,margin,revenue,profit,order_id,Бренд,Категория,current_price,loss_per_order
GGG_Blue_2602,-0.871,500,-499.5,2,Panasonic,Батарейки и аккумуляторы,250.0,-249.75
HHH_Pink_8731,-0.7042857142857143,560,-394.4,1,Robiton,Батарейки и аккумуляторы,560.0,-394.4
EEE_Black_2674,-0.7016666666666667,300,-213.0,2,Panasonic,Батарейки и аккумуляторы,150.0,-106.5
AAA_Pink_2206,-0.3852380952380952,420,-161.8,1,Panasonic,Батарейки и аккумуляторы,420.0,-161.8
HHH_White_3457,-0.16,1000,-160.0,1,Нет бренда,Чехлы,1000.0,-160.0
HHH_Blue_7358,-0.1542570281124497,2490,-384.0999999999999,1,KZDOO,Чехлы,2490.0,-384.1
CCC_Red_9477,-0.13838709677419356,3100,-429.0,2,KZDOO,Чехлы,1550.0,-214.5
BBB_Black_9198,-0.13437499999999997,3520,-472.9999999999999,4,Robiton,Батарейки и аккумуляторы,880.0,-118.25
DDD_Red_2803,-0.1205479452054794,1460,-176.0,1,Robiton,Батарейки и аккумуляторы,1460.0,-176.0
FFF_Red_1714,-0.0897478991596638,2380,-213.5999999999999,1,K-DOO,Чехлы,2380.0,-213.6
GGG_Blue_9642,-0.072318339100346,2890,-209.0,1,KEEPHONE,Чехлы,2890.0,-209.0
CCC_White_6197,-0.06394736842105264,3800,-243.0,2,Varta,Батарейки и аккумуляторы,1900.0,-121.5
EEE_Blue_8678,-0.0531360946745561,3380,-179.5999999999999,1,KZDOO,Чехлы,3380.0,-179.6
BBB_Pink_7223,-0.0503921568627451,2550,-128.5,1,KZDOO,Чехлы,2550.0,-128.5
AAA_White_7977,-0.038387096774193545,6200,-238.0,2,KZDOO,Чехлы,3100.0,-119.0
EEE_Titanium_7841,-0.0358823529411764,5100,-183.0,1,KZDOO,Чехлы,5100.0,-183.0
EEE_Black_5363,-0.03559265442404,5990,-213.19999999999985,1,KEEPHONE,Чехлы,5990.0,-213.2
HHH_Black_6946,-0.03211512717536814,7470,-239.9000000000001,3,KZDOO,Чехлы,2490.0,-79.97
EEE_Pink_4898,-0.0279310344827586,2900,-81.0,1,Robiton,Батарейки и аккумуляторы,2900.0,-81.0
HHH_White_7443,-0.0257298474945533,9180,-236.19999999999985,1,KZDOO,Чехлы,9180.0,-236.2
DDD_Blue_1270,-0.0192662046473705,4906,-94.51999999999998,1,KEEPHONE,Чехлы,4906.0,-94.52
EEE_Green_5799,-0.0166666666666666,2700,-45.0,1,KZDOO,Чехлы,2700.0,-45.0
CCC_Green_8669,-0.0139698492462311,3980,-55.59999999999991,1,KZDOO,Чехлы,3980.0,-55.6
AAA_Titanium_8916,-0.013293172690763001,9960,-132.39999999999964,2,K-DOO,Чехлы,4980.0,-66.2
CCC_Red_3462,-0.0127019498607242,7180,-91.19999999999982,1,K-DOO,Чехлы,7180.0,-91.2
GGG_Titanium_1488,-0.008285714285714299,7000,-58.0,2,KZDOO,Чехлы,3500.0,-29.0
BBB_Red_4612,-0.0053008595988538,6980,-37.0,1,KEEPHONE,Чехлы,6980.0,-37.0
AAA_Pink_6723,-0.0022000000000000006,5000,-11.0,2,KZDOO,Чехлы,2500.0,-5.5
FFF_Purple_6666,0.0023277909738717,3368,7.839999999999918,1,KEEPHONE,Чехлы,3368.0,7.84
CCC_Black_9622,0.0153177257525083,5980,91.59999999999992,1,KZDOO,Чехлы,5980.0,91.6
AAA_Pink_8879,0.018054393305439252,4780,86.29999999999995,2,KEEPHONE,Чехлы,2390.0,43.15
EEE_Blue_2822,0.0279310344827586,1160,32.39999999999998,1,Robiton,Батарейки и аккумуляторы,1160.0,32.4
BBB_White_3471,0.0310738255033556,2980,92.59999999999992,1,KZDOO,Чехлы,2980.0,92.6
BBB_Black_7878,0.0325581395348837,2580,84.0,1,KZDOO,Чехлы,2580.0,84.0
HHH_Purple_5299,0.03278911564625858,2940,413.30000000000024,6,REMAX,Защитные пленки и стекла,490.0,68.88
FFF_Blue_7743,0.0352360515021459,6990,246.30000000000015,1,KEEPHONE,Чехлы,6990.0,246.3
BBB_Red_5304,0.039090909090909,11000,430.0,1,KZDOO,Чехлы,11000.0,430.0
EEE_Purple_8672,0.046,22000,1012.0,2,KZDOO,Чехлы,11000.0,506.0
