segment,count,avg_ltv,total_ltv,avg_frequency,revenue_share
High Risk High Value,1,77700.0,77700,7.0,0.7
Champions,12,44294.5,531534,7.67,4.5
235,11,35241.82,387660,5.18,3.3
Loyal Customers,82,27038.05,2217120,5.35,18.9
325,22,26846.55,590624,3.59,5.0
High Value New Customers,106,22985.4,2436452,3.17,20.8
315,1,22200.0,22200,2.0,0.2
Cannot Lose Them,73,19350.0,1412550,2.81,12.1
324,28,17848.14,499748,3.36,4.3
234,3,16966.67,50900,5.0,0.4
314,11,14165.45,155820,2.0,1.3
113,24,10827.42,259858,1.79,2.2
213,31,10636.19,329722,1.68,2.8
123,6,9920.0,59520,3.17,0.5
About To Sleep,16,9323.12,149170,3.38,1.3
342,1,7140.0,7140,7.0,0.1
Potential Loyalists,94,6704.27,630201,2.09,5.4
New Customers,162,6669.27,1080422,2.37,9.2
541,1,4620.0,4620,7.0,0.0
At Risk,176,4589.56,807762,1.39,6.9
