segment,count,recency,frequency,monetary,RFM_Sum,percentage
High Risk High Value,1,111.0,7.0,77700.0,11.0,0.1
Champions,12,19.58,7.67,44294.5,13.42,1.4
235,11,114.82,5.18,35241.82,10.0,1.3
Loyal Customers,82,31.27,5.35,27038.05,11.79,9.5
325,22,62.86,3.59,26846.55,10.0,2.6
High Value New Customers,106,20.28,3.17,22985.4,10.85,12.3
315,1,50.0,2.0,22200.0,9.0,0.1
Cannot Lose Them,73,140.56,2.81,19350.0,7.53,8.5
324,28,69.04,3.36,17848.14,9.0,3.3
234,3,108.0,5.0,16966.67,9.0,0.3
314,11,65.27,2.0,14165.45,8.0,1.3
113,24,188.58,1.79,10827.42,5.0,2.8
213,31,116.87,1.68,10636.19,6.0,3.6
123,6,174.5,3.17,9920.0,6.0,0.7
About To Sleep,16,116.88,3.38,9323.12,6.75,1.9
342,1,64.0,7.0,7140.0,9.0,0.1
Potential Loyalists,94,66.36,2.09,6704.27,6.34,10.9
New Customers,162,23.06,2.37,6669.27,7.93,18.8
541,1,2.0,7.0,4620.0,10.0,0.1
At Risk,176,171.77,1.39,4589.56,3.94,20.4
