customer_id,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,segment,tier
10052142,179,1,2880,1,1,1,111,3,At Risk,Bronze
10060494,11,4,20720,5,2,4,524,11,High Value New Customers,Gold
10145273,8,5,17450,5,3,4,534,12,Loyal Customers,Platinum
10226963,135,1,9180,2,1,3,213,6,213,Silver
10425403,10,2,7000,5,1,2,512,8,New Customers,Silver
10678165,174,2,6980,1,1,2,112,4,At Risk,Bronze
10769708,110,1,5580,2,1,2,212,5,At Risk,Bronze
10991330,133,2,5200,2,1,2,212,5,At Risk,Bronze
11000967,181,2,10248,1,1,3,113,5,113,Bronze
11135499,135,2,11960,2,1,3,213,6,213,Silver
11146662,185,2,2000,1,1,1,111,3,At Risk,Bronze
11165756,54,2,12980,3,1,4,314,8,314,Silver
11351952,57,3,6000,3,2,2,322,7,Potential Loyalists,Silver
11460725,77,2,15160,3,1,4,314,8,314,Silver
11476432,237,1,6380,1,1,2,112,4,At Risk,Bronze
11575539,29,5,27500,4,3,5,435,12,Loyal Customers,Platinum
11615968,220,1,1460,1,1,1,111,3,At Risk,Bronze
11723919,130,4,12720,2,2,4,224,8,Cannot Lose Them,Silver
11732154,248,1,4980,1,1,1,111,3,At Risk,Bronze
11854043,101,1,1900,2,1,1,211,4,At Risk,Bronze
11935679,178,3,19740,1,2,4,124,7,Cannot Lose Them,Silver
12001967,80,3,8700,3,2,3,323,8,Potential Loyalists,Silver
12105804,76,3,23484,3,2,5,325,10,325,Gold
12133233,83,3,12300,3,2,4,324,9,324,Gold
12157882,33,4,6400,4,2,2,422,8,New Customers,Silver
12197069,208,1,6380,1,1,2,112,4,At Risk,Bronze
12307278,49,4,30088,4,2,5,425,11,High Value New Customers,Gold
12494667,20,3,8940,5,2,3,523,10,New Customers,Gold
12636113,232,1,1000,1,1,1,111,3,At Risk,Bronze
12665141,82,4,22320,3,2,5,325,10,325,Gold
12743240,213,1,2490,1,1,1,111,3,At Risk,Bronze
12911883,103,4,2720,2,2,1,221,5,At Risk,Bronze
12919215,265,1,1320,1,1,1,111,3,At Risk,Bronze
13307981,60,4,10800,3,2,3,323,8,Potential Loyalists,Silver
13391135,157,2,6980,1,1,2,112,4,At Risk,Bronze
13393820,123,1,5180,2,1,2,212,5,At Risk,Bronze
13544308,30,3,32640,4,2,5,425,11,High Value New Customers,Gold
13642174,149,2,11000,1,1,3,113,5,113,Bronze
13687354,37,4,19960,4,2,4,424,10,High Value New Customers,Gold
13735368,149,3,10470,1,2,3,123,6,123,Silver
13739750,105,4,24360,2,2,5,225,9,Cannot Lose Them,Gold
13837776,122,2,1800,2,1,1,211,4,At Risk,Bronze
14268446,56,3,33300,3,2,5,325,10,325,Gold
14299738,57,2,14760,3,1,4,314,8,314,Silver
14715236,82,3,19740,3,2,4,324,9,324,Gold
14737689,3,2,20760,5,1,4,514,10,High Value New Customers,Gold
14773482,80,5,29950,3,3,5,335,11,Loyal Customers,Gold
14809114,116,1,2980,2,1,1,211,4,At Risk,Bronze
14926551,17,5,29950,5,3,5,535,13,Loyal Customers,Platinum
14955118,230,1,3450,1,1,1,111,3,At Risk,Bronze
15211947,105,1,6738,2,1,2,212,5,At Risk,Bronze
15266766,63,3,10470,3,2,3,323,8,Potential Loyalists,Silver
15413660,155,1,4980,1,1,1,111,3,At Risk,Bronze
15511860,111,2,9980,2,1,3,213,6,213,Silver
15551074,18,3,14100,5,2,4,524,11,High Value New Customers,Gold
15752189,34,6,30600,4,3,5,435,12,Loyal Customers,Platinum
16006909,159,2,12360,1,1,4,114,6,Cannot Lose Them,Silver
16225379,158,2,12380,1,1,4,114,6,Cannot Lose Them,Silver
16238464,179,1,3380,1,1,1,111,3,At Risk,Bronze
16278472,45,4,28720,4,2,5,425,11,High Value New Customers,Gold
16337630,8,5,20500,5,3,4,534,12,Loyal Customers,Platinum
16408664,90,1,11100,2,1,3,213,6,213,Silver
16502779,12,3,9750,5,2,3,523,10,New Customers,Gold
16616230,35,1,4990,4,1,1,411,6,New Customers,Silver
16837385,20,5,37900,5,3,5,535,13,Loyal Customers,Platinum
