date,revenue
2025-01-01,54800
2025-01-02,66418
2025-01-03,33490
2025-01-04,28606
2025-01-05,51708
2025-01-06,108030
2025-01-07,40140
2025-01-08,51820
2025-01-09,37490
2025-01-10,72264
2025-01-11,44790
2025-01-12,28080
2025-01-13,54750
2025-01-14,47360
2025-01-15,76180
2025-01-16,34268
2025-01-17,36736
2025-01-18,37738
2025-01-19,21080
2025-01-20,46690
2025-01-21,19730
2025-01-22,42940
2025-01-23,43480
2025-01-24,40250
2025-01-25,30400
2025-01-26,34460
2025-01-27,49103
2025-01-28,10104
2025-01-29,34700
2025-01-30,17120
2025-01-31,54370
2025-02-01,46170
2025-02-02,59300
2025-02-03,65770
2025-02-04,42660
2025-02-05,37480
2025-02-06,67438
2025-02-07,42550
2025-02-08,40268
2025-02-09,41494
2025-02-10,39960
2025-02-11,58280
2025-02-12,44560
2025-02-13,46500
2025-02-14,25640
2025-02-15,56470
2025-02-16,27460
2025-02-17,53086
2025-02-18,40090
2025-02-19,34520
2025-02-20,26940
2025-02-21,36380
2025-02-22,55354
2025-02-23,29970
2025-02-24,45130
2025-02-25,21150
2025-02-26,63540
2025-02-27,37970
2025-02-28,51780
2025-03-01,35540
2025-03-02,21740
2025-03-03,67781
2025-03-04,73168
2025-03-05,23568
2025-03-06,41390
2025-03-07,50708
2025-03-08,15160
2025-03-09,44638
2025-03-10,15170
2025-03-11,53730
2025-03-12,45790
2025-03-13,25550
2025-03-14,42720
2025-03-15,39420
2025-03-16,46243
2025-03-17,35004
2025-03-18,33720
2025-03-19,34980
2025-03-20,23776
2025-03-21,70994
2025-03-22,49964
2025-03-23,11300
2025-03-24,32450
2025-03-25,48440
2025-03-26,22410
2025-03-27,32850
2025-03-28,27278
2025-03-29,37150
2025-03-30,33090
2025-03-31,21984
2025-04-01,30860
2025-04-02,52844
2025-04-03,51580
2025-04-04,65940
2025-04-05,56396
2025-04-06,75104
2025-04-07,47840
2025-04-08,32710
2025-04-09,20018
2025-04-10,39160
2025-04-11,57040
2025-04-12,58750
2025-04-13,57948
2025-04-14,28040
2025-04-15,35230
2025-04-16,51790
2025-04-17,45036
2025-04-18,41856
2025-04-19,39700
2025-04-20,51252
2025-04-21,41508
2025-04-22,43976
2025-04-23,58370
2025-04-24,63540
2025-04-25,25160
2025-04-26,68300
2025-04-27,14440
2025-04-28,31880
2025-04-29,54950
2025-04-30,25570
2025-05-01,41600
2025-05-02,63620
2025-05-03,23500
2025-05-04,30110
2025-05-05,30300
2025-05-06,30960
2025-05-07,48016
2025-05-08,43530
2025-05-09,41880
2025-05-10,49090
2025-05-11,41760
2025-05-12,69978
2025-05-13,68640
2025-05-14,43020
2025-05-15,43940
2025-05-16,61390
2025-05-17,38338
2025-05-18,58040
2025-05-19,33020
2025-05-20,72450
2025-05-21,50316
2025-05-22,42238
2025-05-23,62724
2025-05-24,25560
2025-05-25,11650
2025-05-26,30000
2025-05-27,29138
2025-05-28,58298
2025-05-29,54558
2025-05-30,29988
2025-05-31,40268
2025-06-01,49648
2025-06-02,30160
2025-06-03,72596
2025-06-04,57710
2025-06-05,55930
2025-06-06,28360
2025-06-07,73868
2025-06-08,31760
2025-06-09,44330
2025-06-10,19870
2025-06-11,42640
2025-06-12,46336
2025-06-13,15100
2025-06-14,41178
2025-06-15,32578
2025-06-16,54233
2025-06-17,45240
2025-06-18,11730
2025-06-19,57081
2025-06-20,16180
2025-06-21,50160
2025-06-22,46248
2025-06-23,49733
2025-06-24,45084
2025-06-25,46194
2025-06-26,12010
2025-06-27,34150
2025-06-28,35750
2025-06-29,65180
2025-06-30,78892
2025-07-01,41040
2025-07-02,19364
2025-07-03,28760
2025-07-04,93733
2025-07-05,46600
2025-07-06,56720
2025-07-07,37754
2025-07-08,59580
2025-07-09,13060
2025-07-10,57490
2025-07-11,36570
2025-07-12,29948
2025-07-13,49940
2025-07-14,61138
2025-07-15,14080
2025-07-16,66108
2025-07-17,26832
2025-07-18,20940
2025-07-19,54499
2025-07-20,45410
2025-07-21,38230
2025-07-22,20480
2025-07-23,62599
2025-07-24,50120
2025-07-25,37086
2025-07-26,34828
2025-07-27,32768
2025-07-28,51660
2025-07-29,21780
2025-07-30,23930
2025-07-31,42022
2025-08-01,34590
2025-08-02,56442
2025-08-03,53370
2025-08-04,67460
2025-08-05,65710
2025-08-06,35248
2025-08-07,43074
2025-08-08,38600
2025-08-09,34606
2025-08-10,68280
2025-08-11,38610
2025-08-12,24890
2025-08-13,11628
2025-08-14,66368
2025-08-15,39780
2025-08-16,55330
2025-08-17,35100
2025-08-18,43900
2025-08-19,9180
2025-08-20,13930
2025-08-21,50678
2025-08-22,52402
2025-08-23,66230
2025-08-24,34780
2025-08-25,26488
2025-08-26,32488
2025-08-27,41170
2025-08-28,70708
2025-08-29,40900
2025-08-30,38462
2025-08-31,68190
2025-09-01,54700
2025-09-02,25606
2025-09-03,51340
2025-09-04,38486
2025-09-05,28990
2025-09-06,42540
2025-09-07,20590
2025-09-08,91260
2025-09-09,43210
2025-09-10,41590
2025-09-11,34130
2025-09-12,41938
2025-09-13,41660
2025-09-14,52440
2025-09-15,69036
2025-09-16,43990
2025-09-17,57150
2025-09-18,66710
2025-09-19,34800
2025-09-20,76588
2025-09-21,42230
2025-09-22,64968
2025-09-23,18300
2025-09-24,43744
2025-09-25,45938
2025-09-26,47090
2025-09-27,47850
2025-09-28,40840
