user_id,registration_date,country,device
user_0,2024-02-21,France,iPhone
user_1,2024-01-15,USA,Android
user_2,2024-03-12,France,Android
user_3,2024-03-01,India,Android
user_4,2024-01-21,France,iPhone
user_5,2024-03-23,France,iPhone
user_6,2024-03-27,India,iPhone
user_7,2024-03-15,USA,iPhone
user_8,2024-03-15,USA,Android
user_9,2024-03-28,Germany,Android
user_10,2024-01-24,India,Android
user_11,2024-01-03,UK,Android
user_12,2024-01-22,Germany,iPhone
user_13,2024-02-22,France,Android
user_14,2024-01-02,UK,iPhone
user_15,2024-03-28,France,iPhone
user_16,2024-01-30,India,iPhone
user_17,2024-02-07,Germany,iPhone
user_18,2024-01-02,Germany,iPhone
user_19,2024-03-04,UK,Android
user_20,2024-02-29,Germany,iPhone
user_21,2024-01-21,UK,iPhone
user_22,2024-02-02,UK,iPhone
user_23,2024-03-16,Germany,Android
user_24,2024-02-27,USA,iPhone
user_25,2024-01-22,USA,Android
user_26,2024-03-29,Germany,iPhone
user_27,2024-02-18,UK,Android
user_28,2024-03-31,UK,iPhone
user_29,2024-02-28,France,Android
user_30,2024-02-11,France,Android
user_31,2024-02-29,USA,iPhone
user_32,2024-03-20,India,iPhone
user_33,2024-01-15,UK,iPhone
user_34,2024-03-02,France,iPhone
user_35,2024-03-02,Germany,iPhone
user_36,2024-02-16,India,Android
user_37,2024-03-02,France,iPhone
user_38,2024-02-20,France,iPhone
user_39,2024-02-24,France,iPhone
user_40,2024-03-04,USA,iPhone
user_41,2024-01-03,USA,Android
user_42,2024-02-20,France,iPhone
user_43,2024-01-07,UK,Android
user_44,2024-01-21,France,Android
user_45,2024-03-13,USA,Android
user_46,2024-02-08,Germany,Android
user_47,2024-01-18,UK,iPhone
user_48,2024-01-04,UK,Android
user_49,2024-03-29,Germany,iPhone
user_50,2024-02-29,Germany,iPhone
user_51,2024-01-14,Germany,Android
user_52,2024-01-09,UK,Android
user_53,2024-03-30,UK,Android
user_54,2024-02-22,France,iPhone
user_55,2024-01-02,USA,iPhone
user_56,2024-03-24,Germany,Android
user_57,2024-02-29,Germany,iPhone
user_58,2024-03-11,France,Android
user_59,2024-02-13,Germany,Android
user_60,2024-01-08,India,iPhone
user_61,2024-02-16,India,iPhone
user_62,2024-02-04,UK,iPhone
user_63,2024-03-18,USA,iPhone
user_64,2024-03-21,UK,Android
user_65,2024-02-05,USA,iPhone
user_66,2024-02-19,Germany,Android
user_67,2024-01-04,India,iPhone
user_68,2024-01-02,USA,Android
user_69,2024-01-06,USA,iPhone
user_70,2024-02-23,USA,iPhone
user_71,2024-01-04,France,iPhone
user_72,2024-02-23,Germany,Android
user_73,2024-03-03,USA,Android
user_74,2024-01-18,India,Android
user_75,2024-03-30,France,iPhone
user_76,2024-02-13,USA,iPhone
user_77,2024-02-03,France,iPhone
user_78,2024-03-14,France,iPhone
user_79,2024-03-02,UK,iPhone
user_80,2024-01-14,USA,Android
user_81,2024-02-17,USA,Android
user_82,2024-01-15,USA,Android
user_83,2024-03-12,India,Android
user_84,2024-03-18,India,iPhone
user_85,2024-03-27,USA,iPhone
user_86,2024-03-02,USA,iPhone
user_87,2024-02-09,USA,Android
user_88,2024-03-25,USA,iPhone
user_89,2024-03-20,India,iPhone
user_90,2024-03-22,UK,iPhone
user_91,2024-02-22,UK,iPhone
user_92,2024-01-24,USA,Android
user_93,2024-01-26,Germany,Android
user_94,2024-03-29,UK,iPhone
user_95,2024-02-29,France,Android
user_96,2024-02-10,USA,Android
user_97,2024-01-29,France,iPhone
user_98,2024-01-15,Germany,iPhone
user_99,2024-02-14,USA,iPhone
user_100,2024-03-05,UK,iPhone
user_101,2024-03-29,India,Android
user_102,2024-03-11,India,iPhone
user_103,2024-01-09,UK,Android
user_104,2024-03-28,UK,iPhone
user_105,2024-01-01,India,iPhone
user_106,2024-01-08,Germany,iPhone
user_107,2024-03-28,USA,iPhone
user_108,2024-03-03,India,iPhone
user_109,2024-01-11,USA,Android
user_110,2024-03-21,Germany,iPhone
user_111,2024-01-08,USA,Android
user_112,2024-02-04,USA,iPhone
user_113,2024-02-04,UK,iPhone
user_114,2024-02-02,France,iPhone
user_115,2024-01-05,USA,iPhone
user_116,2024-02-10,USA,iPhone
user_117,2024-01-28,USA,iPhone
user_118,2024-01-07,Germany,iPhone
user_119,2024-03-13,India,iPhone
user_120,2024-03-12,UK,iPhone
user_121,2024-01-12,Germany,iPhone
user_122,2024-02-03,India,Android
user_123,2024-02-02,Germany,Android
user_124,2024-02-17,USA,iPhone
user_125,2024-01-23,USA,iPhone
user_126,2024-03-02,UK,Android
user_127,2024-03-28,UK,Android
user_128,2024-02-06,UK,iPhone
user_129,2024-02-13,France,Android
user_130,2024-03-26,UK,iPhone
user_131,2024-03-31,UK,iPhone
user_132,2024-02-04,Germany,Android
user_133,2024-03-05,UK,iPhone
user_134,2024-02-16,India,Android
user_135,2024-03-18,Germany,Android
user_136,2024-01-03,USA,iPhone
user_137,2024-01-01,France,iPhone
user_138,2024-01-05,Germany,iPhone
user_139,2024-03-30,Germany,iPhone
user_140,2024-01-14,UK,Android
user_141,2024-01-27,UK,iPhone
user_142,2024-01-09,France,iPhone
user_143,2024-03-19,USA,Android
user_144,2024-01-15,UK,iPhone
user_145,2024-03-30,USA,Android
user_146,2024-02-11,France,iPhone
user_147,2024-03-17,USA,Android
user_148,2024-02-20,India,iPhone
user_149,2024-03-03,Germany,iPhone
user_150,2024-02-21,India,iPhone
user_151,2024-01-04,India,iPhone
user_152,2024-01-23,India,Android
user_153,2024-01-15,India,Android
user_154,2024-02-12,UK,Android
user_155,2024-01-29,Germany,iPhone
user_156,2024-02-05,USA,iPhone
user_157,2024-01-13,USA,iPhone
user_158,2024-02-01,Germany,iPhone
user_159,2024-03-11,Germany,Android
user_160,2024-02-28,UK,iPhone
user_161,2024-03-26,Germany,iPhone
user_162,2024-01-28,India,iPhone
user_163,2024-03-06,Germany,Android
user_164,2024-02-11,France,Android
user_165,2024-02-14,India,Android
user_166,2024-03-02,India,iPhone
user_167,2024-02-26,Germany,iPhone
user_168,2024-01-06,India,Android
user_169,2024-01-28,India,Android
user_170,2024-01-28,India,iPhone
user_171,2024-02-13,USA,Android
user_172,2024-03-24,UK,Android
user_173,2024-01-30,UK,Android
user_174,2024-03-02,USA,Android
user_175,2024-03-15,Germany,iPhone
user_176,2024-03-29,France,iPhone
user_177,2024-03-02,India,iPhone
user_178,2024-01-01,USA,Android
user_179,2024-01-27,India,Android
