"Страна","Область","Город","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","111","27","0.8378378378378379","1.3153153153153154","00:01:29"
"Россия","Тамбовская область","Тамбов","77","7","0.8441558441558441","1.3636363636363635","00:01:31"
"США","Штат Орегон","Не определено","8","8","1.0","1.0","00:00:00"
"Россия","Тверская область","Тверь","7","3","0.8571428571428571","1.1428571428571428","00:01:30"
"Россия","Воронежская область","Воронеж","4","3","1.0","1.0","00:00:00"
"Россия","Ярославская область","Ярославль","4","1","0.75","1.25","00:00:44"
"Россия","Не определено","Не определено","3","2","0.6666666666666665","1.6666666666666667","00:09:24"
"Россия","Воронежская область","Не определено","2","1","0.5","1.5","00:00:09"
"Россия","Тверская область","Не определено","2","1","0.5","1.5","00:01:31"
"Россия","Владимирская область","Александров","1","1","0.0","2.0","00:04:19"
"Россия","Кировская область","Киров","1","1","1.0","1.0","00:00:00"
"Россия","Москва и Московская область","Не определено","1","1","1.0","1.0","00:00:00"
"Россия","Тульская область","Не определено","1","1","1.0","1.0","00:00:00"
