order_id,customer_id,product_category,revenue,order_date,country
1,103,Красота,286.2,2023-01-01 00:00:00.000000000,Германия
2,72,Электроника,187.12,2023-01-01 17:30:25.250501002,США
3,75,Книги,262.53,2023-01-02 11:00:50.501002004,Германия
4,150,Электроника,291.57,2023-01-03 04:31:15.751503006,США
5,38,Одежда,70.91,2023-01-03 22:01:41.002004008,Россия
6,161,Красота,191.26,2023-01-04 15:32:06.252505010,Россия
7,89,Электроника,166.94,2023-01-05 09:02:31.503006012,Германия
8,170,Красота,101.8,2023-01-06 02:32:56.753507014,Германия
9,190,Одежда,239.85,2023-01-06 20:03:22.004008016,Германия
10,108,Книги,295.3,2023-01-07 13:33:47.254509018,Россия
11,131,Электроника,190.11,2023-01-08 07:04:12.505010020,Россия
12,73,Книги,23.71,2023-01-09 00:34:37.755511022,Россия
13,60,Одежда,246.35,2023-01-09 18:05:03.006012024,Россия
14,90,Электроника,84.65,2023-01-10 11:35:28.256513026,Германия
15,188,Книги,190.8,2023-01-11 05:05:53.507014028,Германия
16,35,Одежда,129.5,2023-01-11 22:36:18.757515030,США
17,104,Красота,107.28,2023-01-12 16:06:44.008016032,США
18,54,Одежда,178.96,2023-01-13 09:37:09.258517034,Россия
19,191,Одежда,237.04,2023-01-14 03:07:34.509018036,США
20,190,Красота,187.41,2023-01-14 20:37:59.759519038,Германия
21,200,Одежда,74.88,2023-01-15 14:08:25.010020040,Россия
22,190,Красота,256.47,2023-01-16 07:38:50.260521042,Россия
23,82,Книги,252.05,2023-01-17 01:09:15.511022044,США
24,188,Красота,97.28,2023-01-17 18:39:40.761523046,Россия
25,15,Электроника,40.87,2023-01-18 12:10:06.012024048,Германия
26,9,Красота,130.57,2023-01-19 05:40:31.262525050,Германия
27,139,Книги,217.92,2023-01-19 23:10:56.513026052,Германия
28,163,Электроника,189.67,2023-01-20 16:41:21.763527054,США
29,41,Красота,261.67,2023-01-21 10:11:47.014028056,США
30,33,Красота,123.83,2023-01-22 03:42:12.264529058,США
31,37,Книги,185.56,2023-01-22 21:12:37.515030060,США
32,35,Электроника,127.22,2023-01-23 14:43:02.765531062,Германия
33,131,Электроника,222.08,2023-01-24 08:13:28.016032064,Германия
34,142,Книги,31.32,2023-01-25 01:43:53.266533066,Германия
35,15,Одежда,27.12,2023-01-25 19:14:18.517034068,Россия
36,179,Книги,270.81,2023-01-26 12:44:43.767535070,Россия
37,52,Электроника,162.4,2023-01-27 06:15:09.018036072,США
38,151,Книги,134.91,2023-01-27 23:45:34.268537074,Германия
39,29,Красота,284.0,2023-01-28 17:15:59.519038076,Германия
40,187,Книги,65.14,2023-01-29 10:46:24.769539078,США
41,170,Электроника,102.78,2023-01-30 04:16:50.020040080,Россия
